"","category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","name"
"hsa00430","Metabolism","Metabolism of other amino acids","hsa00430","Taurine and hypotaurine metabolism","2/11","17/9520",0.117647058823529,101.818181818182,14.1500358227558,0.000163529248429298,0.00408823121073245,0.00240990471369492,"570/1036",2,"Downres_DEq_MS_B1_vs_C"
"hsa00270","Metabolism","Amino acid metabolism","hsa00270","Cysteine and methionine metabolism","2/11","52/9520",0.0384615384615385,33.2867132867133,7.94000848561695,0.00155960693199785,0.0194950866499731,0.0114918405515631,"6898/1036",2,"Downres_DEq_MS_B1_vs_C"
