"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","name"
"GO:0008083","GO:0008083","growth factor activity","12/339","162/18662",0.0740740740740741,4.07778870315743,5.35154841829353,4.18131496276539e-05,0.0012802788195515,0.00108777065948634,"7060/27329/649/4969/6320/9518/3481/4192/56034/1435/9535/22943",12,"Downres_DEq_MS_BD_vs_D"
"GO:0019955","GO:0019955","cytokine binding","11/339","143/18662",0.0769230769230769,4.23462673020195,5.28144107537013,6.18186409934949e-05,0.00180679027994624,0.00153511362084325,"7057/834/972/8829/3459/6868/633/1311/7048/8764/7049",11,"Downres_DEq_MS_BD_vs_D"
"GO:0050750","GO:0050750","low-density lipoprotein particle receptor binding","5/339","26/18662",0.192307692307692,10.5865668255049,6.65338173776585,9.22845166174502e-05,0.00257995409500089,0.0021920212413939,"348/338/3339/255738/22943",5,"Downres_DEq_MS_BD_vs_D"
"GO:0019838","GO:0019838","growth factor binding","10/339","136/18662",0.0735294117647059,4.04780496269304,4.85215662196013,0.000192677610397505,0.00516215431189982,0.00438595086825899,"7057/1291/8829/3491/3487/7048/3483/1490/6272/7049",10,"Downres_DEq_MS_BD_vs_D"
"GO:0070325","GO:0070325","lipoprotein particle receptor binding","5/339","31/18662",0.161290322580645,8.87905604719764,5.97180981932442,0.000221269726153155,0.00569105735665915,0.00483532580519947,"348/338/3339/255738/22943",5,"Downres_DEq_MS_BD_vs_D"
"GO:0004386","GO:0004386","helicase activity","10/339","148/18662",0.0675675675675676,3.71960456031253,4.51809650930761,0.000381296223083469,0.00942974890164118,0.00801185181296844,"64135/23586/4174/4176/79132/4173/4171/4172/4175/57062",10,"Downres_DEq_MS_BD_vs_D"
"GO:0055102","GO:0055102","lipase inhibitor activity","4/339","20/18662",0.2,11.0100294985251,6.09218549191071,0.000411705880918387,0.00980469931224159,0.00833042308758842,"301/27329/653145/51129",4,"Downres_DEq_MS_BD_vs_D"
"GO:0035374","GO:0035374","chondroitin sulfate binding","3/339","10/18662",0.3,16.5150442477876,6.67512387844139,0.000648477006525081,0.0143783005239871,0.0122163181991476,"375790/5802/4192",3,"Downres_DEq_MS_BD_vs_D"
"GO:0035473","GO:0035473","lipase binding","3/339","10/18662",0.3,16.5150442477876,6.67512387844139,0.000648477006525081,0.0143783005239871,0.0122163181991476,"338/27329/51129",3,"Downres_DEq_MS_BD_vs_D"
"GO:0003678","GO:0003678","DNA helicase activity","6/339","59/18662",0.101694915254237,5.5983200839958,4.81174635803545,0.000688814485696916,0.0147635904767706,0.0125436743184807,"4174/4176/4173/4171/4172/4175",6,"Downres_DEq_MS_BD_vs_D"
"GO:0120545","GO:0120545","nucleic acid conformation isomerase activity","10/339","161/18662",0.062111801242236,3.41926381941772,4.19341246400443,0.000738376843752062,0.0153153648558895,0.0130124815588224,"64135/23586/4174/4176/79132/4173/4171/4172/4175/57062",10,"Downres_DEq_MS_BD_vs_D"
"GO:0042287","GO:0042287","MHC protein binding","5/339","41/18662",0.121951219512195,6.71343262105187,4.98145891884985,0.000841306137826209,0.0169049952069454,0.0143630883398619,"6890/6891/972/3133/6892",5,"Downres_DEq_MS_BD_vs_D"
"GO:0120020","GO:0120020","cholesterol transfer activity","4/339","25/18662",0.16,8.80802359882006,5.31364007567507,0.00100068521825945,0.0194981998588128,0.0165663677281229,"348/338/80765/5360",4,"Downres_DEq_MS_BD_vs_D"
"GO:0016887","GO:0016887","ATP hydrolysis activity","17/339","400/18662",0.0425,2.33963126843658,3.68391937719418,0.00109639219667216,0.0207347112488294,0.0176169520146394,"6890/6891/64135/23586/4174/4176/79132/4173/10592/4171/4172/4175/6782/57062/64222/23515/10051",17,"Downres_DEq_MS_BD_vs_D"
"GO:0042608","GO:0042608","T cell receptor binding","3/339","12/18662",0.25,13.7625368731563,6.01529913888945,0.00115718757007928,0.0212591887874566,0.0180625668833428,"3105/3133/3122",3,"Downres_DEq_MS_BD_vs_D"
"GO:0061134","GO:0061134","peptidase regulator activity","12/339","237/18662",0.0506329113924051,2.78734924013293,3.76659442702523,0.00137490235788809,0.0245572837811678,0.0208647463083017,"7057/4057/2335/727/3698/834/12/7078/684/2719/7035/6590",12,"Downres_DEq_MS_BD_vs_D"
"GO:0030414","GO:0030414","peptidase inhibitor activity","10/339","178/18662",0.0561797752808989,3.09270491531603,3.81583010758218,0.00158188918762798,0.0274906688552647,0.0233570551459153,"7057/4057/727/3698/12/7078/684/2719/7035/6590",10,"Downres_DEq_MS_BD_vs_D"
"GO:0043325","GO:0043325","phosphatidylinositol-3,4-bisphosphate binding","4/339","29/18662",0.137931034482759,7.59312379208626,4.83301175908657,0.0017745510861434,0.0300272723260581,0.0255122441470478,"653145/57664/26499/5341",4,"Downres_DEq_MS_BD_vs_D"
"GO:0043138","GO:0043138","3'-5' DNA helicase activity","3/339","14/18662",0.214285714285714,11.7964601769912,5.49665260004556,0.00186368048377389,0.0307268346427336,0.0261066173030674,"4174/4171/4175",3,"Downres_DEq_MS_BD_vs_D"
"GO:0004859","GO:0004859","phospholipase inhibitor activity","3/339","15/18662",0.2,11.0100294985251,5.2752800024382,0.0022984442834954,0.0369474918571885,0.0313919100824766,"301/27329/653145",3,"Downres_DEq_MS_BD_vs_D"
"GO:0140097","GO:0140097","catalytic activity, acting on DNA","12/339","254/18662",0.047244094488189,2.60079436973033,3.49396152560427,0.00245159096918632,0.0384481217850441,0.0326668989218922,"3669/4174/11277/4176/4173/4171/4172/4175/2237/1786/54108/57804",12,"Downres_DEq_MS_BD_vs_D"
"GO:0044389","GO:0044389","ubiquitin-like protein ligase binding","14/339","324/18662",0.0432098765432099,2.37871007684184,3.40516754517176,0.00253244281607196,0.0384954307247995,0.0327070942885667,"5371/6772/23586/9636/6773/7098/1152/958/92714/4193/527/11200/1026/8764",14,"Downres_DEq_MS_BD_vs_D"
"GO:0120015","GO:0120015","sterol transfer activity","4/339","32/18662",0.125,6.88126843657817,4.52906526108458,0.00257434451192283,0.0384954307247995,0.0327070942885667,"348/338/80765/5360",4,"Downres_DEq_MS_BD_vs_D"
"GO:0016209","GO:0016209","antioxidant activity","6/339","77/18662",0.0779220779220779,4.28962188254224,3.93440511964991,0.00276083817596899,0.0403458851624559,0.0342793065389451,"348/4353/2950/2878/55937/3040",6,"Downres_DEq_MS_BD_vs_D"
"GO:0030169","GO:0030169","low-density lipoprotein particle binding","3/339","17/18662",0.176470588235294,9.7147319104633,4.88952097069758,0.00334389498683224,0.0467418364463724,0.039713535427138,"7057/255738/5360",3,"Downres_DEq_MS_BD_vs_D"
"GO:0070492","GO:0070492","oligosaccharide binding","3/339","17/18662",0.176470588235294,9.7147319104633,4.88952097069758,0.00334389498683224,0.0467418364463724,0.039713535427138,"3965/3958/78989",3,"Downres_DEq_MS_BD_vs_D"
