"sample","group","within_median","within_mean","within_min","between_max","sep_score","group_med","group_mad","robust_z","outlier_like"
"B1_1","B1",0.0519864162416284,0.0381567429482269,-0.00844642508886969,0.110328138823241,-0.0583417225816126,0.0309640747657815,0.0210223414758469,1,FALSE
"B1_2","B1",0.00994173328993463,0.0163720933017091,-0.0128118696264356,0.307470291170815,-0.29752855788088,0.0309640747657815,0.0210223414758469,-1,FALSE
"B1_3","B1",0.00994173328993463,0.0367613970757266,-0.00844642508886969,0.107258831056815,-0.09731709776688,0.0309640747657815,0.0210223414758469,-1,FALSE
"B1_4","B1",0.0709302376919221,0.0556357503638671,-0.0128118696264356,0.0882446669559753,-0.0173144292640533,0.0309640747657815,0.0210223414758469,1.90112804380324,FALSE
"B2_1","B2",0.111871122753233,0.122245762294718,0.110136829345333,0.109134517980849,0.00273660477238383,0.105305464686096,0.00328282903356821,2,FALSE
"B2_2","B2",0.0941811184445889,0.0921819927258795,0.0376355249474614,0.107258831056815,-0.0130777126122257,0.105305464686096,0.00328282903356821,-3.38864623401233,TRUE
"B2_3","B2",0.105305464686096,0.0849373707955967,0.0376355249474614,0.307470291170815,-0.202164826484719,0.105305464686096,0.00328282903356821,0,FALSE
"B2_4","B2",0.105305464686096,0.103207804158673,0.0941811184445889,0.122929732480336,-0.0176242677942396,0.105305464686096,0.00328282903356821,0,FALSE
"BD_2","BD",0.651398596370903,0.655950255175932,0.642150777802643,0.234172926843288,0.417225669527614,0.651398596370903,0.00299514690240116,0,FALSE
"BD_3","BD",0.6454083025661,0.655852178115226,0.642150777802643,0.23667935323763,0.40872894932847,0.651398596370903,0.00299514690240116,-2,FALSE
"BD_4","BD",0.679997453976935,0.679107088223504,0.67430139135425,0.27346067623274,0.406536777744195,0.651398596370903,0.00299514690240116,9.54839897272002,FALSE
"BD_1","BD",0.651398596370903,0.65994310609211,0.6454083025661,0.237421139360849,0.413977457010054,0.651398596370903,0.00299514690240116,0,FALSE
"BDM_1","BDM",0.520191163171471,0.522536527867908,0.498735246527575,0.27346067623274,0.246730486938731,0.520191163171471,0.0107279583219482,0,FALSE
"BDM_2","BDM",0.548659080412647,0.542056621804792,0.52882761109705,0.250350178853377,0.298308901559271,0.520191163171471,0.0107279583219482,2.65361929892422,FALSE
"BDM_3","BDM",0.498735246527575,0.500883599891383,0.475087942049526,0.203478740087513,0.295256506440062,0.520191163171471,0.0107279583219482,-2,FALSE
"BDM_4","BDM",0.520191163171471,0.514646061877881,0.475087942049526,0.2205093525055,0.299681810665971,0.520191163171471,0.0107279583219482,0,FALSE
"BM1_1","BM1",0.0903533865981284,0.0823566412627819,0.0442390659823712,0.108221972624406,-0.0178685860262778,0.11232867218627,0.000482946100880781,-45.5025634290536,TRUE
"BM1_2","BM1",0.11232867218627,0.10538652928737,0.0903533865981284,0.122929732480336,-0.0106010602940656,0.11232867218627,0.000482946100880781,0,FALSE
"BM1_3","BM1",0.11232867218627,0.0899541008522244,0.0442390659823712,0.103905096673139,0.00842357551313097,0.11232867218627,0.000482946100880781,0,FALSE
"BM1_4","BM1",0.113294564388032,0.11308318822453,0.112477471207846,0.0821211439559049,0.0311734204321269,0.11232867218627,0.000482946100880781,2,FALSE
"BM2_1","BM2",0.0817567767538908,0.109906274559644,0.0735281930907277,0.0835723440149912,-0.00181556726110041,0.0817567767538908,0.00411429183158156,0,FALSE
"BM2_2","BM2",0.0817567767538908,0.0861868717316653,0.0625176476379774,0.110328138823241,-0.0285713620693501,0.0817567767538908,0.00411429183158156,0,FALSE
"BM2_3","BM2",0.114286190803128,0.123287469945144,0.0811423651979909,0.105299887343659,0.00898630345946824,0.0817567767538908,0.00411429183158156,7.90644304799652,FALSE
"BM2_4","BM2",0.0735281930907277,0.072396068642232,0.0625176476379774,0.022301337789663,0.0512268553010647,0.0817567767538908,0.00411429183158156,-2,FALSE
"BT_1","BT",0.165292278462576,0.176769933082071,0.162127633510282,0.0675204472224254,0.0977718312401506,0.195714927517386,0.0043334554299768,-7.02041351212714,TRUE
"BT_2","BT",0.197206878621371,0.191537014810645,0.165292278462576,0.0976532978663646,0.0995535807550061,0.195714927517386,0.0043334554299768,0.344286707938485,FALSE
"BT_3","BT",0.202889887273355,0.203074917011581,0.194222976413401,0.0579338842155032,0.144956003057851,0.195714927517386,0.0043334554299768,1.65571329206151,FALSE
"BT_4","BT",0.194222976413401,0.184519162848351,0.162127633510282,0.0738915724970413,0.12033140391636,0.195714927517386,0.0043334554299768,-0.344286707938492,FALSE
"C_1","C",0.175947836287512,0.182317782763484,0.157621860116516,0.213434746429193,-0.0374869101416813,0.234577734342425,0.00526829831034076,-11.1288113544809,TRUE
"C_2","C",0.234577734342425,0.218546633864348,0.175947836287512,0.251295962325748,-0.0167182279833226,0.234577734342425,0.00526829831034076,0,FALSE
"C_3","C",0.245114330963107,0.216725082710353,0.157621860116516,0.31475714222638,-0.0696428112632739,0.234577734342425,0.00526829831034076,2,FALSE
"C_4","C",0.234577734342425,0.231800147760094,0.213383651886423,0.319028439482128,-0.0844507051397032,0.234577734342425,0.00526829831034076,0,FALSE
"CM_1","CM",0.325873570212604,0.313683397522692,0.284471221940835,0.319028439482128,0.00684513073047549,0.28218665392804,0.00386736081436517,11.2963124935976,FALSE
"CM_2","CM",0.28218665392804,0.275379513347677,0.218078315902385,0.278157475990187,0.00402917793785362,0.28218665392804,0.00386736081436517,0,FALSE
"CM_3","CM",0.28218665392804,0.295781328880663,0.27445193229931,0.295374568625861,-0.0131879146978203,0.28218665392804,0.00386736081436517,0,FALSE
"CM_4","CM",0.27445193229931,0.25900049004751,0.218078315902385,0.251112488472508,0.0233394438268017,0.28218665392804,0.00386736081436517,-2,FALSE
"D_1","D",0.370618966026977,0.37177874939502,0.343504350316812,0.237421139360849,0.133197826666128,0.354196344128135,0.0120933498920636,1.35798782350782,FALSE
"D_2","D",0.364888337939457,0.368934302645352,0.34070163815533,0.23667935323763,0.128208984701827,0.354196344128135,0.0120933498920636,0.884121761691449,FALSE
"D_3","D",0.34070163815533,0.344578631582425,0.322415290564969,0.220976993395354,0.119724644759976,0.354196344128135,0.0120933498920636,-1.11587823830855,FALSE
"D_4","D",0.343504350316812,0.34360265960708,0.322415290564969,0.209399621716518,0.134104728600295,0.354196344128135,0.0120933498920636,-0.884121761691449,FALSE
"DM_1","DM",0.107841504094323,0.107841504094323,0.0970524976112794,0.109571516945733,-0.0017300128514097,0.0981719026086415,0.0096696014856813,1,FALSE
"DM_2","DM",0.0873828961255981,0.0873828961255981,0.0777132946399168,0.0613104765461253,0.0260724195794728,0.0981719026086415,0.0096696014856813,-1.11576537037434,FALSE
"DM_3","DM",0.0981719026086415,0.0981719026086415,0.0777132946399168,0.0866986867780138,0.0114732158306277,0.0981719026086415,0.0096696014856813,0,FALSE
