"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","name"
"GO:0034362","GO:0034362","low-density lipoprotein particle","4/138","12/19518",1.1332962796206e-06,8.47508522151057e-06,6.17218568763622e-06,"348/338/3949/344",4,"Upres_DEq_MS_CTRL_vs_HBV"
"GO:0098637","GO:0098637","protein complex involved in cell-matrix adhesion","4/138","17/19518",5.30122255362909e-06,3.79920949676752e-05,2.76686615737659e-05,"7448/4811/3912/3371",4,"Upres_DEq_MS_CTRL_vs_HBV"
"GO:0005796","GO:0005796","Golgi lumen","7/138","106/19518",1.03178983499543e-05,7.09871406476857e-05,5.16981012060869e-05,"7448/2147/2158/2159/6382/176/2817",7,"Upres_DEq_MS_CTRL_vs_HBV"
"GO:0046930","GO:0046930","pore complex","4/138","26/19518",3.16941221039416e-05,0.000209668807764537,0.000152696377747735,"729/735/727/730",4,"Upres_DEq_MS_CTRL_vs_HBV"
"GO:0005583","GO:0005583","fibrillar collagen trimer","3/138","12/19518",7.2613112782351e-05,0.000446051978520156,0.00032484813613157,"1281/1277/1280",3,"Upres_DEq_MS_CTRL_vs_HBV"
"GO:0098643","GO:0098643","banded collagen fibril","3/138","12/19518",7.2613112782351e-05,0.000446051978520156,0.00032484813613157,"1281/1277/1280",3,"Upres_DEq_MS_CTRL_vs_HBV"
"GO:0030139","GO:0030139","endocytic vesicle","10/138","347/19518",0.000183186407253809,0.001086484898195,0.000791258891586324,"3240/348/338/335/7018/2934/3263/3039/3949/1755",10,"Upres_DEq_MS_CTRL_vs_HBV"
"GO:0005775","GO:0005775","vacuolar lumen","7/138","176/19518",0.000258613462580061,0.00148271718545902,0.00107982463322903,"718/2638/7276/338/6382/176/2817",7,"Upres_DEq_MS_CTRL_vs_HBV"
"GO:0098644","GO:0098644","complex of collagen trimers","3/138","21/19518",0.000418980665831262,0.00232466692009603,0.0016929948806085,"1281/1277/1280",3,"Upres_DEq_MS_CTRL_vs_HBV"
"GO:1905369","GO:1905369","endopeptidase complex","5/138","90/19518",0.000446079926238879,0.00239767960353398,0.00174616813231667,"2147/2158/3075/2159/5648",5,"Upres_DEq_MS_CTRL_vs_HBV"
"GO:0043202","GO:0043202","lysosomal lumen","5/138","98/19518",0.000658926355341713,0.00343440403390226,0.00250118776030826,"2638/338/6382/176/2817",5,"Upres_DEq_MS_CTRL_vs_HBV"
"GO:0098636","GO:0098636","protein complex involved in cell adhesion","4/138","57/19518",0.000706830106705987,0.00357572877510087,0.00260411091944311,"7448/4811/3912/3371",4,"Upres_DEq_MS_CTRL_vs_HBV"
"GO:0036019","GO:0036019","endolysosome","3/138","29/19518",0.00110448370447055,0.00542774849054101,0.00395288904757883,"3273/255738/3949",3,"Upres_DEq_MS_CTRL_vs_HBV"
"GO:0030135","GO:0030135","coated vesicle","8/138","312/19518",0.00171811405565133,0.00820876715477855,0.00597823311761718,"348/338/255738/7018/2153/3949/537/9871",8,"Upres_DEq_MS_CTRL_vs_HBV"
"GO:0030669","GO:0030669","clathrin-coated endocytic vesicle membrane","4/138","73/19518",0.00178520265002277,0.00829877988659234,0.00604378706551094,"348/338/7018/3949",4,"Upres_DEq_MS_CTRL_vs_HBV"
"GO:1905368","GO:1905368","peptidase complex","5/138","125/19518",0.00195541339245385,0.00885081851321215,0.00644582254022183,"2147/2158/3075/2159/5648",5,"Upres_DEq_MS_CTRL_vs_HBV"
"GO:0005793","GO:0005793","endoplasmic reticulum-Golgi intermediate compartment","5/138","132/19518",0.00247977957664112,0.0109364637739044,0.00796474411930618,"2335/2153/23071/537/56886",5,"Upres_DEq_MS_CTRL_vs_HBV"
"GO:0031838","GO:0031838","haptoglobin-hemoglobin complex","2/138","11/19518",0.00261789900519851,0.0112569657223536,0.00819815741101638,"3240/3039",2,"Upres_DEq_MS_CTRL_vs_HBV"
"GO:0030665","GO:0030665","clathrin-coated vesicle membrane","5/138","136/19518",0.00282165271142611,0.0118371772284217,0.00862071046623125,"348/338/7018/3949/537",5,"Upres_DEq_MS_CTRL_vs_HBV"
"GO:0005581","GO:0005581","collagen trimer","4/138","85/19518",0.00311161161794109,0.0124288698110177,0.00905162489296882,"1293/1281/1277/1280",4,"Upres_DEq_MS_CTRL_vs_HBV"
"GO:0030662","GO:0030662","coated vesicle membrane","6/138","202/19518",0.00316655368424496,0.0124288698110177,0.00905162489296882,"348/338/7018/3949/537/9871",6,"Upres_DEq_MS_CTRL_vs_HBV"
"GO:0005769","GO:0005769","early endosome","9/138","423/19518",0.00317947832374871,0.0124288698110177,0.00905162489296882,"348/338/335/255738/7018/336/3949/27329/344",9,"Upres_DEq_MS_CTRL_vs_HBV"
"GO:0045334","GO:0045334","clathrin-coated endocytic vesicle","4/138","92/19518",0.00413422410656682,0.0158019232517665,0.0115081326007357,"348/338/7018/3949",4,"Upres_DEq_MS_CTRL_vs_HBV"
"GO:0036020","GO:0036020","endolysosome membrane","2/138","20/19518",0.00867507145505035,0.0324372237014926,0.0236231922917847,"255738/3949",2,"Upres_DEq_MS_CTRL_vs_HBV"
"GO:1904813","GO:1904813","ficolin-1-rich granule lumen","4/138","124/19518",0.0116808171803864,0.042746820319712,0.0311314052511979,"1/1471/2934/23406",4,"Upres_DEq_MS_CTRL_vs_HBV"
"GO:0030666","GO:0030666","endocytic vesicle membrane","5/138","196/19518",0.0128506398243862,0.0460481260373838,0.0335356609452183,"348/338/7018/3949/1755",5,"Upres_DEq_MS_CTRL_vs_HBV"
