"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","name"
"GO:0005652","GO:0005652","nuclear lamina","2/238","12/19518",0.00901619365403153,0.0408299483852537,0.0292701081890657,"4000/3692",2,"Downres_DEq_MS_HBV.myr_vs_CTRL"
"GO:0031093","GO:0031093","platelet alpha granule lumen","4/238","67/19518",0.0090694446782472,0.0408299483852537,0.0292701081890657,"12/87/226/81",4,"Downres_DEq_MS_HBV.myr_vs_CTRL"
"GO:0005884","GO:0005884","actin filament","5/238","105/19518",0.00930636767317493,0.0408299483852537,0.0292701081890657,"5358/7170/87/7168/9124",5,"Downres_DEq_MS_HBV.myr_vs_CTRL"
"GO:0005903","GO:0005903","brush border","5/238","105/19518",0.00930636767317493,0.0408299483852537,0.0292701081890657,"4637/1192/87/832/3320",5,"Downres_DEq_MS_HBV.myr_vs_CTRL"
"GO:0034358","GO:0034358","plasma lipoprotein particle","3/238","36/19518",0.00950352246898146,0.0408299483852537,0.0292701081890657,"6288/6289/337",3,"Downres_DEq_MS_HBV.myr_vs_CTRL"
"GO:1990777","GO:1990777","lipoprotein particle","3/238","36/19518",0.00950352246898146,0.0408299483852537,0.0292701081890657,"6288/6289/337",3,"Downres_DEq_MS_HBV.myr_vs_CTRL"
"GO:0044194","GO:0044194","cytolytic granule","2/238","13/19518",0.0105704462721603,0.0443194614784554,0.0317716647622321,"811/1992",2,"Downres_DEq_MS_HBV.myr_vs_CTRL"
"GO:0044292","GO:0044292","dendrite terminus","2/238","13/19518",0.0105704462721603,0.0443194614784554,0.0317716647622321,"3320/3326",2,"Downres_DEq_MS_HBV.myr_vs_CTRL"
"GO:0031904","GO:0031904","endosome lumen","3/238","39/19518",0.0118441086212909,0.0484911741201087,0.0347622754581542,"1508/1509/1520",3,"Downres_DEq_MS_HBV.myr_vs_CTRL"
"GO:0032994","GO:0032994","protein-lipid complex","3/238","39/19518",0.0118441086212909,0.0484911741201087,0.0347622754581542,"6288/6289/337",3,"Downres_DEq_MS_HBV.myr_vs_CTRL"
"GO:0016529","GO:0016529","sarcoplasmic reticulum","4/238","73/19518",0.0121733335987122,0.0486933343948487,0.0349071997930403,"811/7184/2280/23224",4,"Downres_DEq_MS_HBV.myr_vs_CTRL"
"GO:0070821","GO:0070821","tertiary granule membrane","4/238","73/19518",0.0121733335987122,0.0486933343948487,0.0349071997930403,"8987/5269/2548/2040",4,"Downres_DEq_MS_HBV.myr_vs_CTRL"
