"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0002483","GO:0002483","antigen processing and presentation of endogenous peptide antigen","4/43","25/18614",3.01393715612774e-07,7.76817996047117e-06,5.42406347282751e-06,"6891/6892/6890/3106",4
"GO:0140374","GO:0140374","antiviral innate immune response","4/43","26/18614",3.55595730554826e-07,8.87878089729081e-06,6.1995308287519e-06,"4938/4599/64135/3434",4
"GO:0034341","GO:0034341","response to type II interferon","6/43","139/18614",7.5575777161679e-07,1.82984987733883e-05,1.2776766154925e-05,"6772/6672/54625/684/10410/6737",6
"GO:0019883","GO:0019883","antigen processing and presentation of endogenous antigen","4/43","32/18614",8.46770066407616e-07,1.9899096560579e-05,1.38943695107132e-05,"6891/6892/6890/3106",4
"GO:0002683","GO:0002683","negative regulation of immune system process","9/43","487/18614",1.36358933903059e-06,3.05794460784202e-05,2.13518298156415e-05,"4938/9636/4940/54625/684/6737/11274/3106/114770",9
"GO:0002474","GO:0002474","antigen processing and presentation of peptide antigen via MHC class I","4/43","36/18614",1.37779732017913e-06,3.05794460784202e-05,2.13518298156415e-05,"6891/6892/6890/3106",4
"GO:0001960","GO:0001960","negative regulation of cytokine-mediated signaling pathway","5/43","87/18614",1.66199447336764e-06,3.5890096870831e-05,2.50599451176344e-05,"4938/9636/4940/54625/11274",5
"GO:0060761","GO:0060761","negative regulation of response to cytokine stimulus","5/43","92/18614",2.19322306936497e-06,4.61154008532266e-05,3.21996738715633e-05,"4938/9636/4940/54625/11274",5
"GO:0060338","GO:0060338","regulation of type I interferon-mediated signaling pathway","4/43","42/18614",2.59185856350608e-06,5.30998715959322e-05,3.70765192620303e-05,"4938/9636/4940/11274",4
"GO:0060759","GO:0060759","regulation of response to cytokine stimulus","6/43","177/18614",3.09203125482379e-06,6.17633243151053e-05,4.31256990804371e-05,"4938/9636/4940/54625/64135/11274",6
"GO:0031348","GO:0031348","negative regulation of defense response","7/43","284/18614",3.59974597397313e-06,7.01511471513301e-05,4.89824227523944e-05,"4938/9636/4940/54625/6737/11274/3106",7
"GO:0019882","GO:0019882","antigen processing and presentation","5/43","114/18614",6.30650745238432e-06,0.000119973796534645,8.37706503700173e-05,"6891/6892/6890/5696/3106",5
"GO:0044403","GO:0044403","biological process involved in symbiotic interaction","7/43","313/18614",6.81418549134403e-06,0.000126345319833145,8.82195105876648e-05,"5359/10410/6737/3429/3434/114770/117159",7
"GO:0042742","GO:0042742","defense response to bacterium","7/43","314/18614",6.95768970295167e-06,0.000126345319833145,8.82195105876648e-05,"4938/9636/4940/57674/4939/114770/117159",7
"GO:0035455","GO:0035455","response to interferon-alpha","3/43","18/18614",9.1461437674027e-06,0.000162394863781217,0.000113390788227449,"5610/684/10410",3
"GO:0032069","GO:0032069","regulation of nuclease activity","3/43","22/18614",1.71501963460302e-05,0.000297891453923437,0.00020800009298389,"4938/4940/4939",3
"GO:0000209","GO:0000209","protein polyubiquitination","6/43","244/18614",1.93776075963922e-05,0.000329419329138667,0.000230014155119549,"151636/9246/57674/84875/6737/3429",6
"GO:0048002","GO:0048002","antigen processing and presentation of peptide antigen","4/43","71/18614",2.14320670073256e-05,0.000356754615392774,0.000249100778813214,"6891/6892/6890/3106",4
"GO:0060333","GO:0060333","type II interferon-mediated signaling pathway","3/43","25/18614",2.54904251095578e-05,0.000415649993112993,0.000290223959356941,"6772/6672/54625",3
"GO:0001959","GO:0001959","regulation of cytokine-mediated signaling pathway","5/43","165/18614",3.77595918031858e-05,0.000603398277014909,0.000421317550646073,"4938/9636/4940/54625/11274",5
"GO:0032102","GO:0032102","negative regulation of response to external stimulus","7/43","446/18614",6.60981624152352e-05,0.00103553787783868,0.00072305523385087,"4938/9636/4940/54625/6737/11274/3106",7
"GO:1903321","GO:1903321","negative regulation of protein modification by small protein conjugation or removal","4/43","97/18614",7.31707982709017e-05,0.00112429745804712,0.000785030831651374,"9636/151636/84875/6737",4
"GO:0032760","GO:0032760","positive regulation of tumor necrosis factor production","4/43","105/18614",9.96067805467252e-05,0.00150161920107233,0.00104849242680763,"4938/4940/64135/4939",4
"GO:0051701","GO:0051701","biological process involved in interaction with host","5/43","206/18614",0.000108135987207265,0.0016000121070112,0.00111719440974368,"5359/10410/6737/3434/114770",5
"GO:1903557","GO:1903557","positive regulation of tumor necrosis factor superfamily cytokine production","4/43","109/18614",0.000115149490992252,0.00167280806005108,0.00116802354499318,"4938/4940/64135/4939",4
"GO:0001819","GO:0001819","positive regulation of cytokine production","7/43","489/18614",0.000117466845115997,0.00167600016513717,0.00117025240435109,"4938/9636/6772/4940/5610/64135/4939",7
"GO:0039530","GO:0039530","MDA-5 signaling pathway","2/43","11/18614",0.000282932765171775,0.00389764274779738,0.00272149483740546,"4940/64135",2
"GO:0070213","GO:0070213","protein auto-ADP-ribosylation","2/43","11/18614",0.000282932765171775,0.00389764274779738,0.00272149483740546,"84875/64761",2
"GO:0070534","GO:0070534","protein K63-linked ubiquitination","3/43","59/18614",0.000341108077177193,0.00461941277397589,0.00322546442290655,"57674/84875/6737",3
"GO:0048524","GO:0048524","positive regulation of viral process","3/43","64/18614",0.000433670334441697,0.00577504328698193,0.00403237328515964,"7153/6737/3434",3
"GO:0032897","GO:0032897","negative regulation of viral transcription","2/43","15/18614",0.000536983133764665,0.00692015361093495,0.00483193651774656,"10410/6737",2
"GO:0071639","GO:0071639","positive regulation of monocyte chemotactic protein-1 production","2/43","15/18614",0.000536983133764665,0.00692015361093495,0.00483193651774656,"4938/4940",2
"GO:0032722","GO:0032722","positive regulation of chemokine production","3/43","70/18614",0.00056430975131396,0.0071568808142834,0.00499722920963072,"4938/4940/5610",3
