"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","name"
"GO:0005796","GO:0005796","Golgi lumen","1/2","106/19518",0.0108325508725022,0.0324976526175067,NA,"51150",1,"Downres_DEq_MS_CF_vs_CFM"
"GO:0005770","GO:0005770","late endosome","1/2","296/19518",0.0301017497558348,0.0431767328540352,NA,"51150",1,"Downres_DEq_MS_CF_vs_CFM"
"GO:0009897","GO:0009897","external side of plasma membrane","1/2","426/19518",0.0431767328540352,0.0431767328540352,NA,"432",1,"Downres_DEq_MS_CF_vs_CFM"
