Group1,Group2,Difference,t-statistic,p-value,Adjusted p-value,Significant
"siRNA
Ctrl","siRNA1
VTN",0.22650219887497414,3.261356841017758,0.002174113846056258,0.006522341538168774,True
"siRNA
Ctrl","siRNA2
VTN",0.04123210877566308,0.36958005436164726,0.7135093407703703,0.7135093407703703,False
"siRNA1
VTN","siRNA2
VTN",-0.18527009009931106,-1.7360655530168487,0.08971348377415111,0.17942696754830223,False
