Effect,Coefficient,p-value
Intercept,0.9999864809264342,1.6552835365645965e-237
"Group[T.siRNA1
VTN]",-0.262324977260769,5.857113945236855e-10
"Group[T.siRNA2
VTN]",-0.5692373247684841,8.134320644422591e-42
