"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","count","sca.t","sca.P.Value","sca.adj.pval","D1BM_vs_D1C","Diff_Abund","negLog10_sca_adjPval","Genes","Protein.Names"
-2.634057285,15.867637515,-39.2471943633338,1.18242650299084e-09,4.53030590623172e-07,13.1790789683618,"FIBB_HUMAN",43,-41.2985529096271,2.55958023765484e-10,9.80668264690576e-08,-2.634057285,"Up in D1BM",7.00847787863366,"FGB","FIBB_HUMAN"
-0.561025614999998,12.358136415,-28.7477661387084,1.09466973938311e-08,2.42815032454218e-06,10.953598959631,"AKA12_HUMAN",65,-40.9786645456019,2.71685375860433e-10,9.95667840490255e-08,-0.561025614999998,"Up in D1BM",7.00188552011205,"AKAP12","AKA12_HUMAN"
-0.904587265000002,15.0991294375,-32.3081823592547,4.75560211351395e-09,1.29306355531642e-06,11.8062929782088,"ITIH2_HUMAN",51,-37.5862920748609,5.26918397941211e-10,1.85058132343603e-07,-0.904587265000002,"Up in D1BM",6.73269182516305,"ITIH2","ITIH2_HUMAN"
-1.20277381,15.3049989925,-33.4377793142778,3.71990709864233e-09,1.11982489051629e-06,12.0535311512825,"APOA1_HUMAN",30,-35.9533980868114,7.4048751198763e-10,2.49662769541749e-07,-1.20277381,"Up in D1BM",6.60264621611121,"APOA1","APOA1_HUMAN"
-3.15341377225,11.047472953875,-37.670929893052,1.58567908540469e-09,5.34627560435044e-07,12.8956574788391,"F13A_HUMAN",7,-35.6321520193913,7.93177975833469e-10,2.57142198396166e-07,-3.15341377225,"Up in D1BM",6.5898266474848,"F13A1","F13A_HUMAN"
-0.844255445,11.1724491125,-30.6278830830684,6.96469721789481e-09,1.63070646804543e-06,11.4185456523521,"G6PD_HUMAN",38,-34.9004845685978,9.29756507884241e-10,2.76610389204629e-07,-0.844255445,"Up in D1BM",6.55813151226175,"G6PD","G6PD_HUMAN"
-1.37110519250001,15.32871842625,-34.0104652666392,3.29460834230817e-09,1.06808668143521e-06,12.1750106306818,"FGL1_HUMAN",19,-34.7934459097785,9.51881914702911e-10,2.76610389204629e-07,-1.37110519250001,"Up in D1BM",6.55813151226175,"FGL1","FGL1_HUMAN"
-0.990849258499999,10.12789619075,-33.2456240340825,3.87636304959863e-09,1.12668497051955e-06,12.0121981055919,"MFGM_HUMAN",22,-34.73021523484,9.65231046744885e-10,2.76610389204629e-07,-0.990849258499999,"Up in D1BM",6.55813151226175,"MFGE8","MFGM_HUMAN"
-3.8426241875,7.80408787725,-33.7482477967327,3.48206460682577e-09,1.08704898410868e-06,12.1197027036042,"TGFB1_HUMAN",14,-34.6406858343437,9.84495394013389e-10,2.76610389204629e-07,-3.8426241875,"Up in D1BM",6.55813151226175,"TGFB1","TGFB1_HUMAN"
-2.86609983625,9.501454354375,-32.6994115838902,4.36363407454126e-09,1.22603572047694e-06,11.8930963670183,"NID1_HUMAN",42,-34.1640661403625,1.09465024415488e-09,2.97638932515531e-07,-2.86609983625,"Up in D1BM",6.52631026173241,"NID1","NID1_HUMAN"
-2.493935583,9.9257609835,-31.329371187488,5.92464426706529e-09,1.4329243448563e-06,11.5834468425825,"QSOX1_HUMAN",23,-32.5000250704547,1.60407430574455e-09,4.22523197597524e-07,-2.493935583,"Up in D1BM",6.37414944218877,"QSOX1","QSOX1_HUMAN"
-3.414639355,9.4161902075,-32.0229140288816,5.06672854193987e-09,1.33460796500035e-06,11.742193925463,"MIME_HUMAN",10,-32.2951522677999,1.68357822683099e-09,4.23004012294468e-07,-3.414639355,"Up in D1BM",6.37365551321814,"OGN","MIME_HUMAN"
-4.11089527925,9.828695477875,-31.705497261404,5.44048267909635e-09,1.3896311667304e-06,11.6700572201592,"TSP4_HUMAN",10,-32.2386806163553,1.70626840882808e-09,4.23004012294468e-07,-4.11089527925,"Up in D1BM",6.37365551321814,"THBS4","TSP4_HUMAN"
-0.838456389999997,11.7064336525,-40.5152166599942,9.41641854993413e-10,3.77957104559023e-07,13.3965342566603,"TFPI1_HUMAN",12,-30.9009959004952,2.35933087308467e-09,5.68194283692305e-07,-0.838456389999997,"Up in D1BM",6.24550313980241,"TFPI","TFPI1_HUMAN"
-4.337977531,8.4899813545,-29.2789545944422,9.60607401268277e-09,2.18836750953792e-06,11.0884982316245,"RELN_HUMAN",85,-30.4337596842011,2.65074261523697e-09,6.20641930662012e-07,-4.337977531,"Up in D1BM",6.20715888676027,"RELN","RELN_HUMAN"
0.502724887499998,13.28908860625,23.2731782710375,4.92755874119824e-08,8.47438248802777e-06,9.37150097604505,"VILI_HUMAN",48,29.6349955215358,3.24812551640343e-09,7.39958107507149e-07,0.502724887499998,"Up in D1C",6.13079286701697,"VIL1","VILI_HUMAN"
-2.1755591615,9.14980906175,-26.5136451373143,1.94888040579899e-08,4.10677823511991e-06,10.3528909393792,"TENA_HUMAN",61,-27.8050105992817,5.28458982950785e-09,1.17220546507689e-06,-2.1755591615,"Up in D1BM",5.93099625817433,"TNC","TENA_HUMAN"
-0.829581977500002,14.26890623625,-24.01262474947,3.94523695283141e-08,7.38986717231466e-06,9.60828181204971,"APOB_HUMAN",250,-27.2840108220491,6.10513765981957e-09,1.31949244447742e-06,-0.829581977500002,"Up in D1BM",5.87959309224284,"APOB","APOB_HUMAN"
-2.86329031025,8.156436443375,-43.3034224342758,5.8456145662731e-10,2.57882255345878e-07,13.8444127180222,"OMD_HUMAN",2,-27.0594939681999,6.50236553936987e-09,1.37021097828372e-06,-2.86329031025,"Up in D1BM",5.8632125571867,"OMD","OMD_HUMAN"
-0.888828995000003,13.6052941075,-24.855756458121,3.08646776753215e-08,6.05019460756477e-06,9.86862194380226,"MA1A1_HUMAN",31,-26.808930928114,6.98051744564305e-09,1.43509223291037e-06,-0.888828995000003,"Up in D1BM",5.84312018606811,"MAN1A1","MA1A1_HUMAN"
-1.2699274975,13.04850053625,-31.3106634859908,5.94997651797017e-09,1.4329243448563e-06,11.5791065458427,"APOM_HUMAN",9,-26.6131811812995,7.38175647860258e-09,1.48144822281288e-06,-1.2699274975,"Up in D1BM",5.82931352267843,"APOM","APOM_HUMAN"
-0.578769444999999,15.70948088,-23.3021080853452,4.88425221285802e-08,8.47438248802777e-06,9.38091925584206,"CLUS_HUMAN",30,-26.2253751451052,8.25595465437741e-09,1.61835911120342e-06,-0.578769444999999,"Up in D1BM",5.79092510280464,"CLU","CLUS_HUMAN"
0.990791439999999,8.2078282235,26.4189546000961,1.99919649031935e-08,4.11005541875654e-06,10.326162799289,"RHDF2_HUMAN",14,25.4716934167677,1.03105605204764e-08,1.975175332434e-06,0.990791439999999,"Up in D1C",5.70439434685837,"RHBDF2","RHDF2_HUMAN"
-1.2218568325,10.84578621375,-24.6529404271826,3.27175036443392e-08,6.2676326867758e-06,9.80690286956454,"SMOC1_HUMAN",19,-25.3182753603739,1.07962000791877e-08,2.02224823261052e-06,-1.2218568325,"Up in D1BM",5.69416553547298,"SMOC1","SMOC1_HUMAN"
-0.863174675000003,10.6448158025,-23.0705504224468,5.24342273879941e-08,8.66604122849808e-06,9.30517263923098,"HXK2_HUMAN",39,-25.1310559404877,1.14241719052451e-08,2.09335532585458e-06,-0.863174675000003,"Up in D1BM",5.67915704831665,"HK2","HXK2_HUMAN"
-0.684308527500001,12.48080611125,-22.1128655270323,7.08529883567976e-08,1.10048392236991e-05,8.98284164023745,"PLOD1_HUMAN",42,-24.8433083303108,1.24713625173744e-08,2.23661946082869e-06,-0.684308527500001,"Up in D1BM",5.65040790062427,"PLOD1","PLOD1_HUMAN"
-1.0347132725,10.99470925375,-23.3175858136702,4.86126066564706e-08,8.47438248802777e-06,9.38595286349577,"CPVL_HUMAN",20,-24.0264492458499,1.60856651322538e-08,2.82470982082849e-06,-1.0347132725,"Up in D1BM",5.54902616012272,"CPVL","CPVL_HUMAN"
0.746888397500001,12.09316170375,23.8251328249702,4.17136592797771e-08,7.64357465367915e-06,9.54901197106682,"FADS2_HUMAN",18,23.9157121834225,1.66611157118265e-08,2.86605192520379e-06,0.746888397500001,"Up in D1C",5.54271594561167,"FADS2","FADS2_HUMAN"
-0.61745786675,10.320787669125,-22.30898806594,6.65487302041385e-08,1.05837593752959e-05,9.05007090606139,"EXT2_HUMAN",24,-23.7577355090573,1.75226969932227e-08,2.95397625911748e-06,-0.61745786675,"Up in D1BM",5.52959299940176,"EXT2","EXT2_HUMAN"
-0.480712175000001,11.1419438125,-22.0712040746237,7.18075877688282e-08,1.10048392236991e-05,8.96847729452698,"T23O_HUMAN",22,-23.2501561598232,2.06504601873037e-08,3.41299468468202e-06,-0.480712175000001,"Non-significant",5.46686438808089,"TDO2","T23O_HUMAN"
-0.87182784,13.0169519175,-22.6100127939053,6.05080537362724e-08,9.80812278736616e-06,9.15202246199096,"H2AW_HUMAN",17,-22.7228722159401,2.45840478666979e-08,3.98497960516147e-06,-0.87182784,"Up in D1BM",5.39957389695005,"MACROH2A2","H2AW_HUMAN"
0.377623797499997,11.65543282125,18.6684579468826,2.34941863425389e-07,2.87003618378639e-05,7.68578885638429,"GTPB4_HUMAN",32,22.4899009604025,2.6586257373112e-08,4.22821817732003e-06,0.377623797499997,"Non-significant",5.37384261106152,"GTPBP4","GTPB4_HUMAN"
-0.590904949999997,15.4036148775,-19.2241895808334,1.90972263672344e-07,2.43894728862755e-05,7.91137227625398,"CO4B_HUMAN",87,-22.3044056237705,2.83124593316567e-08,4.32737477199702e-06,-0.590904949999997,"Up in D1BM",5.3637754911285,"C4B","CO4B_HUMAN"
0.527372362500003,13.17825436625,20.1075012123798,1.38989703664498e-07,1.85959398760008e-05,8.25622523586661,"FDFT_HUMAN",29,22.2918390394216,2.84338999737708e-08,4.32737477199702e-06,0.527372362500003,"Up in D1C",5.3637754911285,"FDFT1","FDFT_HUMAN"
-0.609559294999997,11.73710668,-20.8245357168736,1.08448067347251e-07,1.52351459944996e-05,8.52458770000973,"HEP2_HUMAN",25,-22.2594203329509,2.87499095066833e-08,4.32737477199702e-06,-0.609559294999997,"Up in D1BM",5.3637754911285,"SERPIND1","HEP2_HUMAN"
0.4839675425,15.18979346625,19.4970301922735,1.72863996278361e-07,2.25183660457607e-05,8.01964078673567,"HMCS1_HUMAN",32,22.201077941739,2.9328648890068e-08,4.33703827183128e-06,0.4839675425,"Non-significant",5.36280674543902,"HMGCS1","HMCS1_HUMAN"
0.788393254999997,11.6628030525,21.7567053982974,7.95048801738314e-08,1.19669041961647e-05,8.85908766560237,"TRAF1_HUMAN",18,22.0037774423103,3.13854213080314e-08,4.5611675207827e-06,0.788393254999997,"Up in D1C",5.3409239768677,"TRAF1","TRAF1_HUMAN"
-7.2896209955,10.60303658225,-21.2238830014959,9.47886887115201e-08,1.40170852131474e-05,8.66981577765991,"GPC3_HUMAN",12,-21.930685489409,3.21882941909549e-08,4.59856155483998e-06,-7.2896209955,"Up in D1BM",5.33737799581643,"GPC3","GPC3_HUMAN"
-0.406225920000001,16.108784795,-17.5833280442672,3.58402402003659e-07,4.19579700901228e-05,7.22449573742299,"KPYM_HUMAN",47,-21.6440192124277,3.55686911109208e-08,4.99680828956585e-06,-0.406225920000001,"Non-significant",5.30130731263082,"PKM","KPYM_HUMAN"
-1.1275482175,10.75590825125,-20.8734284798466,1.06660983809751e-07,1.52351459944996e-05,8.54252731684276,"ALDR_HUMAN",20,-21.5382515482227,3.6915653399233e-08,5.07061928737141e-06,-1.1275482175,"Up in D1BM",5.29493899595986,"AKR1B1","ALDR_HUMAN"
-1.86739850025,8.000985979875,-27.7986199496116,1.39085586747639e-08,3.00603182229704e-06,10.7051899677708,"GTR3_HUMAN",4,-21.5090782813631,3.72972352375166e-08,5.07061928737141e-06,-1.86739850025,"Up in D1BM",5.29493899595986,"SLC2A3","GTR3_HUMAN"
1.061918261,9.517002107,23.2078811033464,5.02692044609549e-08,8.47438248802777e-06,9.35019583551266,"RTP3_HUMAN",10,21.164188376068,4.21624007510134e-08,5.64106152270305e-06,1.061918261,"Up in D1C",5.24863916373415,"RTP3","RTP3_HUMAN"
-4.109055519,8.901560068,-19.48452849376,1.7364975595853e-07,2.25183660457607e-05,8.01471470676744,"TSP3_HUMAN",12,-20.0829559141794,6.27313011955989e-08,8.26190840277661e-06,-4.109055519,"Up in D1BM",5.08291962422135,"THBS3","TSP3_HUMAN"
-0.498095035,10.8172652725,-20.2632044272532,1.31604045649884e-07,1.78917822706914e-05,8.31535381565724,"CP1A1_HUMAN",18,-19.9735277653872,6.53802453293224e-08,8.47830904432091e-06,-0.498095035,"Non-significant",5.0716907569354,"CYP1A1","CP1A1_HUMAN"
0.372872829999999,12.543133495,16.1735100392871,6.45046428344473e-07,6.25034065518249e-05,6.57956899601324,"ABHGA_HUMAN",33,18.8502426345983,1.01280415860156e-07,1.29347367467463e-05,0.372872829999999,"Non-significant",4.88824240580317,"ABHD16A","ABHGA_HUMAN"
0.277491331,9.31784856325,13.2437875779564,2.60268029043912e-06,0.000148229676811563,5.03768821707217,"MDN1_HUMAN",141,18.7197555857029,1.0673565487053e-07,1.33573681286213e-05,0.277491331,"Non-significant",4.87427910472093,"MDN1","MDN1_HUMAN"
-1.2120666515,10.40429854425,-20.6157732995275,1.16471562090309e-07,1.60940786370363e-05,8.44748071158352,"COTL1_HUMAN",8,-18.6961145895607,1.07759050035146e-07,1.33573681286213e-05,-1.2120666515,"Up in D1BM",4.87427910472093,"COTL1","COTL1_HUMAN"
0.387923717500001,11.93874978875,15.1541489638091,1.01787657640398e-06,8.17112539286582e-05,6.07688468983466,"HEAT1_HUMAN",85,18.6574465189093,1.09456885579066e-07,1.33711896890717e-05,0.387923717500001,"Non-significant",4.87382995007437,"HEATR1","HEAT1_HUMAN"
0.376745937500001,15.70998036875,15.427539028142,8.98155610674763e-07,7.35005207997823e-05,6.21494408571381,"ABCD3_HUMAN",41,18.2987456181339,1.2672902531316e-07,1.52599850623518e-05,0.376745937500001,"Non-significant",4.8164458915018,"ABCD3","ABCD3_HUMAN"
-1.19062518975,9.693732022625,-20.9609157401458,1.0354614705291e-07,1.50481116122237e-05,8.57451630170832,"GTR1_HUMAN",7,-18.1529480572188,1.3461184869732e-07,1.57794867743038e-05,-1.19062518975,"Up in D1BM",4.80190712626681,"SLC2A1","GTR1_HUMAN"
-3.8557785745,8.136852324,-17.5177390580213,3.67961772524648e-07,4.24869832960309e-05,7.19568018334204,"EMIL1_HUMAN",33,-18.1498114234492,1.34787406305597e-07,1.57794867743038e-05,-3.8557785745,"Up in D1BM",4.80190712626681,"EMILIN1","EMIL1_HUMAN"
0.741139650000003,9.7896806,17.6559515078414,3.48145423348034e-07,4.13312362450785e-05,7.25627337871691,"AJUBA_HUMAN",19,18.0784197836005,1.38853832374608e-07,1.58315856475445e-05,0.741139650000003,"Up in D1C",4.80047558523293,"AJUBA","AJUBA_HUMAN"
-0.691325425999997,9.45881927,-16.8476091681472,4.84185574854396e-07,5.32540345487785e-05,6.8947818053878,"BMP1_HUMAN",34,-18.0760892769045,1.38988888114639e-07,1.58315856475445e-05,-0.691325425999997,"Up in D1BM",4.80047558523293,"BMP1","BMP1_HUMAN"
0.350008965000001,13.2673923975,16.3610802501052,5.94889449023479e-07,6.11502825099866e-05,6.66859298979665,"FAF2_HUMAN",25,18.0215787286966,1.42190467818557e-07,1.59803127099016e-05,0.350008965000001,"Non-significant",4.79641472647034,"FAF2","FAF2_HUMAN"
-1.4980263715,8.60648107525,-17.4672205686183,3.75522373153066e-07,4.27740281527999e-05,7.17341010635781,"EXT1_HUMAN",17,-17.9671680675417,1.45469316979506e-07,1.61336956950034e-05,-1.4980263715,"Up in D1BM",4.7922661387422,"EXT1","EXT1_HUMAN"
-0.504948137499998,14.01776814375,-15.8228905097135,7.52243401970723e-07,6.81971039799414e-05,6.41033613572487,"PLMN_HUMAN",53,-17.9051687380011,1.4930978928463e-07,1.63445742062356e-05,-0.504948137499998,"Up in D1BM",4.78662638877532,"PLG","PLMN_HUMAN"
-0.289206977500001,12.45740580625,-13.484665186083,2.29658574084808e-06,0.000138094475793255,5.17648911812595,"A2MG_HUMAN",60,-17.7398907362084,1.60118407549205e-07,1.71762427822045e-05,-0.289206977500001,"Non-significant",4.76507182987674,"A2M","A2MG_HUMAN"
0.435760260000004,11.1100615275,15.9926344147752,6.98008459316717e-07,6.61068910514675e-05,6.49273168790201,"PALLD_HUMAN",30,17.7272209317716,1.60982700177263e-07,1.71762427822045e-05,0.435760260000004,"Non-significant",4.76507182987674,"PALLD","PALLD_HUMAN"
0.554535866000002,9.5283207895,15.7600528168181,7.73522329087858e-07,6.86317864408584e-05,6.37960896495446,"INT1_HUMAN",70,17.6762918242198,1.64510364402385e-07,1.72317108237863e-05,0.554535866000002,"Up in D1C",4.76367160215471,"INTS1","INT1_HUMAN"
0.289126392500002,11.75016474875,13.121501886395,2.77561605642035e-06,0.000153918866707678,4.9662902197048,"DYSF_HUMAN",102,17.6421905860858,1.66921112844975e-07,1.72317108237863e-05,0.289126392500002,"Non-significant",4.76367160215471,"DYSF","DYSF_HUMAN"
0.487229822500002,12.15297961375,16.319391369155,6.05642499487535e-07,6.15055497371136e-05,6.64889606693093,"SUN2_HUMAN",27,17.6232926269683,1.682742134282e-07,1.72317108237863e-05,0.487229822500002,"Non-significant",4.76367160215471,"SUN2","SUN2_HUMAN"
0.564452647499998,11.46354770625,15.8934009812694,7.29153565177534e-07,6.81971039799414e-05,6.444669906251,"RRP12_HUMAN",49,17.6038405471644,1.69679914387741e-07,1.72317108237863e-05,0.564452647499998,"Up in D1C",4.76367160215471,"RRP12","RRP12_HUMAN"
0.838491917499997,10.81916022125,17.9258428666406,3.12845305549281e-07,3.76710440067841e-05,7.37320268466912,"BOK_HUMAN",13,17.4729991453967,1.79486383365138e-07,1.77626930133472e-05,0.838491917499997,"Up in D1C",4.75049118989903,"BOK","BOK_HUMAN"
-0.653110262500004,10.93765533125,-16.7740100347529,4.99321003459931e-07,5.39586761303046e-05,6.86099385808215,"FSCN1_HUMAN",22,-17.4545910981959,1.80916633457541e-07,1.77626930133472e-05,-0.653110262500004,"Up in D1BM",4.75049118989903,"FSCN1","FSCN1_HUMAN"
0.746884342500003,11.08363008375,16.2067399830831,6.35820821581909e-07,6.25034065518249e-05,6.59541612981245,"PLIN4_HUMAN",50,17.4505738509553,1.81230466146383e-07,1.77626930133472e-05,0.746884342500003,"Up in D1C",4.75049118989903,"PLIN4","PLIN4_HUMAN"
-2.826277256,8.32110524175,-16.3972732328748,5.85729583645854e-07,6.09520328463075e-05,6.6856521785974,"MRC2_HUMAN",30,-16.9964691491882,2.2100478950484e-07,2.14120617326011e-05,-2.826277256,"Up in D1BM",4.66934151318281,"MRC2","MRC2_HUMAN"
-3.852532149,8.6116055255,-16.0987907252341,6.66351330325944e-07,6.38258564013339e-05,6.54381575340525,"CEMIP_HUMAN",54,-16.6847957275743,2.53994717795979e-07,2.408934716115e-05,-3.852532149,"Up in D1BM",4.61817496953889,"CEMIP","CEMIP_HUMAN"
-1.393701434,8.66954952475,-16.5199114404998,5.55862061599823e-07,5.86698491371177e-05,6.74317472813161,"KCRB_HUMAN",12,-16.6792474870252,2.54630258537836e-07,2.408934716115e-05,-1.393701434,"Up in D1BM",4.61817496953889,"CKB","KCRB_HUMAN"
0.560898780499999,10.15197777725,15.4287353272771,8.97668119874227e-07,7.35005207997823e-05,6.21554283686109,"EXD2_HUMAN",32,16.6568670183897,2.57212153814628e-07,2.408934716115e-05,0.560898780499999,"Up in D1C",4.61817496953889,"EXD2","EXD2_HUMAN"
0.320939780000002,11.4906138175,13.3535809049981,2.45776313775512e-06,0.000142872313711296,5.10125386652117,"FA83H_HUMAN",55,16.4388479007985,2.83967755915455e-07,2.63029034572678e-05,0.320939780000002,"Non-significant",4.57999630908166,"FAM83H","FA83H_HUMAN"
-3.9798611425,8.63751512875,-15.7696005109376,7.70245559220854e-07,6.86317864408584e-05,6.3842856183629,"CO6A3_HUMAN",19,-16.3147701133411,3.00587361667143e-07,2.75396833857864e-05,-3.9798611425,"Up in D1BM",4.56004105698383,"COL6A3","CO6A3_HUMAN"
-0.380773544999998,13.362097265,-15.522240819415,8.60477819766429e-07,7.24976625173843e-05,6.26219991714722,"OAT_HUMAN",22,-16.2891713699439,3.04150945363391e-07,2.75665410587959e-05,-0.380773544999998,"Non-significant",4.55961772404001,"OAT","OAT_HUMAN"
0.933285237499998,10.85298466625,16.1732133568929,6.45129477993685e-07,6.25034065518249e-05,6.57942736248762,"PX11B_HUMAN",14,16.2242390199707,3.13405555617787e-07,2.79190537966058e-05,0.933285237499998,"Up in D1C",4.55409930445419,"PEX11B","PX11B_HUMAN"
-0.467416050000002,11.8727706675,-15.822295797186,7.52441650271034e-07,6.81971039799414e-05,6.41004589935265,"SIL1_HUMAN",20,-16.2155706661673,3.14664860680691e-07,2.79190537966058e-05,-0.467416050000002,"Non-significant",4.55409930445419,"SIL1","SIL1_HUMAN"
-0.492470025749997,9.807512402125,-14.8285308777372,1.18479602015933e-06,9.33331369525515e-05,5.90918754972959,"ITA2_HUMAN",31,-16.104813834434,3.31267215700731e-07,2.88143802195985e-05,-0.492470025749997,"Non-significant",4.54039071740149,"ITGA2","ITA2_HUMAN"
-0.730072735,10.8493448475,-15.5422022977653,8.52766949711794e-07,7.24976625173843e-05,6.27212389684911,"MASP1_HUMAN",21,-16.0874649460322,3.33956144707108e-07,2.88143802195985e-05,-0.730072735,"Up in D1BM",4.54039071740149,"MASP1","MASP1_HUMAN"
