"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","count","sca.t","sca.P.Value","sca.adj.pval","D1C_vs_D8CM","Diff_Abund","negLog10_sca_adjPval","Genes","Protein.Names","D8CM_vs_D1C"
-1.4960830225,14.18570196625,-65.6414622319763,3.64010169683752e-11,1.09580061438012e-08,16.6754444359011,"CAN2_HUMAN",37,79.3923663455632,3.0295718580561e-12,1.11730692716811e-09,1.4960830225,"Up in D8CM",8.95182750865226,"CAPN2","CAN2_HUMAN",-1.4960830225
1.3812894825,18.08783769625,70.2704992205442,2.24307688405521e-11,9.00328335985779e-09,17.1405443727755,"NNMT_HUMAN",24,-79.325464074895,3.04876727071615e-12,1.11730692716811e-09,-1.3812894825,"Up in D1C",8.95182750865226,"NNMT","NNMT_HUMAN",1.3812894825
-2.4461359975,13.15823268875,-83.2575361209748,6.72065569670766e-12,5.24719120724933e-09,18.2509436712901,"CAVN1_HUMAN",13,75.6571811567591,4.34680815477447e-12,1.48277322282793e-09,2.4461359975,"Up in D8CM",8.82892526542847,"CAVIN1","CAVN1_HUMAN",-2.4461359975
-1.8118517375,12.23577010625,-68.2582488943214,2.75739131693149e-11,9.99797968969791e-09,16.9434569755294,"CAP2_HUMAN",27,75.2756743712244,4.5145800311767e-12,1.48277322282793e-09,1.8118517375,"Up in D8CM",8.82892526542847,"CAP2","CAP2_HUMAN",-1.8118517375
-3.30773496675,11.120202541625,-74.2020417412759,1.52347947563404e-11,7.13411583339962e-09,17.5047113744592,"FSTL1_HUMAN",17,75.1449507683799,4.57374585283262e-12,1.48277322282793e-09,3.30773496675,"Up in D8CM",8.82892526542847,"FSTL1","FSTL1_HUMAN",-3.30773496675
1.6519474975,11.44299435375,67.7564021776002,2.90581844098153e-11,9.99797968969791e-09,16.8931081713489,"PACN3_HUMAN",23,-73.0798719286388,5.63542210265635e-12,1.75929529271446e-09,-1.6519474975,"Up in D1C",8.75466125932984,"PACSIN3","PACN3_HUMAN",1.6519474975
-1.4181427925,11.88527059625,-65.2990212260782,3.77790702542787e-11,1.09806821783902e-08,16.6393446988238,"RIR2B_HUMAN",23,71.3981002014865,6.70907215773933e-12,1.97949693307839e-09,1.4181427925,"Up in D8CM",8.70344516678279,"RRM2B","RIR2B_HUMAN",-1.4181427925
-2.863601445,12.91323483,-67.5632704273451,2.96535166974075e-11,9.99797968969791e-09,16.8736013728372,"HTRA1_HUMAN",27,71.255261002662,6.8104651867687e-12,1.97949693307839e-09,2.863601445,"Up in D8CM",8.70344516678279,"HTRA1","HTRA1_HUMAN",-2.863601445
-1.30317211,12.9928348075,-58.587332518206,8.16244025342997e-11,1.85949213232868e-08,15.8790059533537,"CADH2_HUMAN",34,70.4354214849712,7.42711387082237e-12,2.08677142723873e-09,1.30317211,"Up in D8CM",8.68052511841195,"CDH2","CADH2_HUMAN",-1.30317211
-1.20455432,11.4479655025,-55.5980136033235,1.18392986449812e-10,2.2176321839677e-08,15.504466198884,"S12A4_HUMAN",39,69.3525119886546,8.34099322285483e-12,2.26794296372398e-09,1.20455432,"Up in D8CM",8.64436787167129,"SLC12A4","S12A4_HUMAN",-1.20455432
-2.137884615,12.1415867825,-62.0293349315991,5.44163318945997e-11,1.34904488688112e-08,16.2819458001295,"PCSK6_HUMAN",46,68.7344160826138,8.91941551245131e-12,2.34942979232663e-09,2.137884615,"Up in D8CM",8.62903752840681,"PCSK6","PCSK6_HUMAN",-2.137884615
-1.1110150825,15.17218196375,-52.1266384523092,1.8711128581484e-10,2.74368928918623e-08,15.0375246768872,"AMPN_HUMAN",49,68.0673255823148,9.59527898689342e-12,2.4508668660765e-09,1.1110150825,"Up in D8CM",8.61068027948587,"ANPEP","AMPN_HUMAN",-1.1110150825
0.911870952499998,13.97705435875,46.9939709034752,3.90444725455175e-10,3.86415867533777e-08,14.2747835068525,"PARP1_HUMAN",57,-67.5497019257435,1.01598138789944e-11,2.45799920831716e-09,-0.911870952499998,"Up in D1C",8.60941826132896,"PARP1","PARP1_HUMAN",0.911870952499998
2.2246551495,10.49916315025,63.0481411110063,4.84699917294773e-11,1.31791471060569e-08,16.3958403104244,"ASNS_HUMAN",27,-67.3203686591672,1.04218919832822e-11,2.45799920831716e-09,-2.2246551495,"Up in D1C",8.60941826132896,"ASNS","ASNS_HUMAN",2.2246551495
-3.53047418725,10.612956286375,-76.1075622484775,1.27226488082828e-11,6.70245042531349e-09,17.6719320160107,"ANGL8_HUMAN",9,67.2549589314768,1.04980390911636e-11,2.45799920831716e-09,3.53047418725,"Up in D8CM",8.60941826132896,"ANGPTL8","ANGL8_HUMAN",-3.53047418725
1.278402805,11.9929914475,56.2284250749788,1.0928441188822e-10,2.09354160864956e-08,15.5854764555509,"LPIN2_HUMAN",32,-66.2881934650164,1.17003344459929e-11,2.66546267689929e-09,-1.278402805,"Up in D1C",8.57422739429834,"LPIN2","LPIN2_HUMAN",1.278402805
-0.613770725000002,15.3429831275,-34.9599977667304,3.17710441827328e-09,1.27811140995297e-07,12.0362678233231,"MYH14_HUMAN",140,65.6322139336231,1.26049713752084e-11,2.73841364692482e-09,0.613770725000002,"Up in D8CM",8.56250094955183,"MYH14","MYH14_HUMAN",-0.613770725000002
-1.267046685,15.43928206,-56.9667260968954,9.96163228924306e-11,2.04317133506361e-08,15.6789507076406,"BHMT2_HUMAN",28,65.5869077598181,1.26703205872663e-11,2.73841364692482e-09,1.267046685,"Up in D8CM",8.56250094955183,"BHMT2","BHMT2_HUMAN",-1.267046685
0.966576097499997,13.07406187125,48.9319175766643,2.93115504375905e-10,3.25088235050593e-08,14.5737695732419,"TOP1_HUMAN",42,-65.3217201242356,1.30606124255226e-11,2.75219755336825e-09,-0.966576097499997,"Up in D1C",8.56032039556066,"TOP1","TOP1_HUMAN",0.966576097499997
-0.962207555000001,14.23834479,-46.1640004746452,4.43055309213542e-10,3.98297616458226e-08,14.1423300720765,"MYO1C_HUMAN",72,64.1439174812319,1.49670006546426e-11,3.00577910178323e-09,0.962207555000001,"Up in D8CM",8.52204293938507,"MYO1C","MYO1C_HUMAN",-0.962207555000001
-1.937263486,10.7664570795,-58.0657376305355,8.69762366130648e-11,1.92927025897769e-08,15.8153710170689,"ERBB2_HUMAN",39,64.1380886156109,1.49771885484513e-11,3.00577910178323e-09,1.937263486,"Up in D8CM",8.52204293938507,"ERBB2","ERBB2_HUMAN",-1.937263486
-1.83510232,10.988862395,-57.8474126611954,8.93343390765507e-11,1.93076703609294e-08,15.7885250009634,"MANBA_HUMAN",33,63.6301970776313,1.58958362800519e-11,3.11595358150134e-09,1.83510232,"Up in D8CM",8.50640902065544,"MANBA","MANBA_HUMAN",-1.83510232
-1.61491393750001,18.26148462125,-55.2122402904304,1.24392984871496e-10,2.23086908400391e-08,15.4543388821042,"ANXA2_HUMAN",42,62.8429644170671,1.74487770311953e-11,3.34263049081693e-09,1.61491393750001,"Up in D8CM",8.47591162959013,"ANXA2","ANXA2_HUMAN",-1.61491393750001
1.409373285,14.5955474375,55.3853245376415,1.21659100870512e-10,2.22927078529902e-08,15.4768819392815,"AK1D1_HUMAN",30,-62.653910653415,1.78468633302023e-11,3.34291580022833e-09,-1.409373285,"Up in D1C",8.47587456207232,"AKR1D1","AK1D1_HUMAN",1.409373285
-1.425949095,13.5441393875,-62.4616391104327,5.17969913104312e-11,1.32614425262373e-08,16.3305619532683,"NEUR1_HUMAN",18,62.4207566375505,1.83520574787537e-11,3.36281505409598e-09,1.425949095,"Up in D8CM",8.47329701707259,"NEU1","NEUR1_HUMAN",-1.425949095
-2.294685125,14.4001439825,-62.4409064412582,5.19192790800605e-11,1.32614425262373e-08,16.3282401446292,"FBX2_HUMAN",16,62.1383969187432,1.89857010767879e-11,3.40490371013288e-09,2.294685125,"Up in D8CM",8.4678951653222,"FBXO2","FBX2_HUMAN",-2.294685125
0.996768714999998,12.332787395,46.0057684443557,4.53978710051528e-10,3.98297616458226e-08,14.1167663423811,"COBL1_HUMAN",67,-61.6374542948359,2.01718471512356e-11,3.5217631721195e-09,-0.996768714999998,"Up in D1C",8.45323985237211,"COBLL1","COBL1_HUMAN",0.996768714999998
-0.972382787499999,15.49357449875,-47.839776546876,3.44030344418469e-10,3.67067313051047e-08,14.4070066710522,"AGM1_HUMAN",38,61.354933470024,2.08777261758643e-11,3.5217631721195e-09,0.972382787499999,"Up in D8CM",8.45323985237211,"PGM3","AGM1_HUMAN",-0.972382787499999
-1.1261687275,17.87908053375,-50.3466916883089,2.39438387006021e-10,2.96797965304963e-08,14.7834270459066,"BHMT1_HUMAN",37,61.3498217194282,2.08907531861401e-11,3.5217631721195e-09,1.1261687275,"Up in D8CM",8.45323985237211,"BHMT","BHMT1_HUMAN",-1.1261687275
-1.418053153,10.3780593885,-54.6848811949148,1.33164543710684e-10,2.33842487278615e-08,15.3851214092563,"EPHA2_HUMAN",28,60.9211825062764,2.20166139909096e-11,3.63878508488975e-09,1.418053153,"Up in D8CM",8.4390435940985,"EPHA2","EPHA2_HUMAN",-1.418053153
1.06883478,13.676320075,47.658426596704,3.53426853734972e-10,3.67782092608899e-08,14.3788863629694,"HS105_HUMAN",48,-60.2968412933002,2.3781682412298e-11,3.83350034175406e-09,-1.06883478,"Up in D1C",8.41640449369067,"HSPH1","HS105_HUMAN",1.06883478
0.853887559999997,11.3580915925,41.9481998948793,8.73762764858932e-10,5.7991703503905e-08,13.4246159345487,"RRP5_HUMAN",81,-60.1883936702871,2.41043443009806e-11,3.83350034175406e-09,-0.853887559999997,"Up in D1C",8.41640449369067,"PDCD11","RRP5_HUMAN",0.853887559999997
-4.36094045475,10.878761767625,-66.7898770412003,3.21810361843228e-11,1.00464427406539e-08,16.7947500483389,"SPP24_HUMAN",7,59.8518468966448,2.51376886732756e-11,3.92380699679704e-09,4.36094045475,"Up in D8CM",8.4062923627313,"SPP2","SPP24_HUMAN",-4.36094045475
-2.7827737325,12.72815859375,-61.1269634021122,6.03856727580219e-11,1.45425953050676e-08,16.1790719899143,"IL18_HUMAN",13,59.4303439049788,2.65034158716895e-11,3.94836960872854e-09,2.7827737325,"Up in D8CM",8.40358219958956,"IL18","IL18_HUMAN",-2.7827737325
-1.852807525,13.9496004575,-57.5056230892831,9.31738901764006e-11,1.9634068007422e-08,15.7462452725031,"QORX_HUMAN",20,59.407429334772,2.65800377565958e-11,3.94836960872854e-09,1.852807525,"Up in D8CM",8.40358219958956,"TP53I3","QORX_HUMAN",-1.852807525
-1.006407975,13.9096990825,-49.6360978653244,2.64852467708199e-10,3.14428373283438e-08,14.6790012104156,"ACOT9_HUMAN",29,59.3516580366374,2.67675772800334e-11,3.94836960872854e-09,1.006407975,"Up in D8CM",8.40358219958956,"ACOT9","ACOT9_HUMAN",-1.006407975
-1.38023448,13.1747957475,-51.9357261954325,1.9204848506583e-10,2.74368928918623e-08,15.0107681146882,"MA2B1_HUMAN",34,59.2338264472016,2.71687551674285e-11,3.94836960872854e-09,1.38023448,"Up in D8CM",8.40358219958956,"MAN2B1","MA2B1_HUMAN",-1.38023448
0.966721772500001,12.63313639125,50.7623640807106,2.25865892708727e-10,2.94904192421014e-08,14.8437096597148,"4F2_HUMAN",25,-58.6877653328298,2.91191199672691e-11,4.16008580006969e-09,-0.966721772500001,"Up in D1C",8.38089771213466,"SLC3A2","4F2_HUMAN",0.966721772500001
-0.770489695,14.9729352,-40.2567448577905,1.16974560384389e-09,6.99275581191497e-08,13.1134010827421,"PYGB_HUMAN",55,58.2750231927268,3.06988157018462e-11,4.31267195918103e-09,0.770489695,"Up in D8CM",8.36525357494834,"PYGB","PYGB_HUMAN",-0.770489695
-1.0408530275,18.82412362125,-45.1590317897687,5.17916984622346e-10,4.40961844786036e-08,13.9782291133351,"K1C18_HUMAN",62,57.8126775743928,3.25848208618067e-11,4.50258123023227e-09,1.0408530275,"Up in D8CM",8.34653844341161,"KRT18","K1C18_HUMAN",-1.0408530275
-1.08345628,15.513997435,-46.130013480509,4.45376066466959e-10,3.98297616458226e-08,14.1368477028741,"A0A6Q8PH20_HUMAN",52,57.5521532647819,3.37052098483646e-11,4.52305604161932e-09,1.08345628,"Up in D8CM",8.34456803122042,"CAST","A0A6Q8PH20_HUMAN",-1.08345628
-1.199267625,14.776246665,-49.1275074470072,2.84934465030949e-10,3.25088235050593e-08,14.6031755089997,"ACSA_HUMAN",34,57.2858234471486,3.48959060687596e-11,4.52305604161932e-09,1.199267625,"Up in D8CM",8.34456803122042,"ACSS2","ACSA_HUMAN",-1.199267625
-1.7043590575,13.31878543125,-56.6045840005993,1.04231068226047e-10,2.04317133506361e-08,15.6332875398706,"FADS2_HUMAN",18,57.2110071888195,3.52389153986844e-11,4.52305604161932e-09,1.7043590575,"Up in D8CM",8.34456803122042,"FADS2","FADS2_HUMAN",-1.7043590575
-0.8422663225,11.61782634375,-42.0086741389339,8.64884637975433e-10,5.7991703503905e-08,13.4354808636749,"RIGI_HUMAN",49,57.200263715257,3.52884838671709e-11,4.52305604161932e-09,0.8422663225,"Up in D8CM",8.34456803122042,"RIGI","RIGI_HUMAN",-0.8422663225
-1.68880152825,10.405678153375,-52.3801263441859,1.80777860276776e-10,2.74368928918623e-08,15.0728711597023,"ITA2_HUMAN",31,57.1726982402182,3.54160278499081e-11,4.52305604161932e-09,1.68880152825,"Up in D8CM",8.34456803122042,"ITGA2","ITA2_HUMAN",-1.68880152825
-1.3437829025,11.20779800375,-50.0420239445109,2.49977911399795e-10,3.05371567418678e-08,14.7388683724022,"DTNA_HUMAN",32,56.502825585382,3.86820252396069e-11,4.76858720002136e-09,1.3437829025,"Up in D8CM",8.32161027129906,"DTNA","DTNA_HUMAN",-1.3437829025
-1.0486884125,17.03844332875,-43.438454183549,6.82182896442538e-10,5.17207863718557e-08,13.687337797859,"AHNK_HUMAN",309,56.3765923050344,3.93349843145666e-11,4.76858720002136e-09,1.0486884125,"Up in D8CM",8.32161027129906,"AHNAK","AHNK_HUMAN",-1.0486884125
-1.06555367,14.883288145,-46.1259768649869,4.45652621137643e-10,3.98297616458226e-08,14.1361962559465,"PLOD2_HUMAN",41,56.3623305531942,3.94095371999522e-11,4.76858720002136e-09,1.06555367,"Up in D8CM",8.32161027129906,"PLOD2","PLOD2_HUMAN",-1.06555367
-1.79193425,12.500526545,-51.9820394414538,1.9083726591139e-10,2.74368928918623e-08,15.0172697264072,"PROS_HUMAN",31,56.2812969600899,3.98361893027e-11,4.76858720002136e-09,1.79193425,"Up in D8CM",8.32161027129906,"PROS1","PROS_HUMAN",-1.79193425
-0.934503554999996,15.3375988,-42.6178148345163,7.80966418645485e-10,5.62264051900678e-08,13.5439476366198,"ESYT1_HUMAN",62,56.219094877083,4.01672429946039e-11,4.76858720002136e-09,0.934503554999996,"Up in D8CM",8.32161027129906,"ESYT1","ESYT1_HUMAN",-0.934503554999996
-1.250905035,10.97402525,-52.4064500949219,1.80134284827163e-10,2.74368928918623e-08,15.0765300462164,"GSDME_HUMAN",22,55.9812317176891,4.14622763125582e-11,4.80043806616742e-09,1.250905035,"Up in D8CM",8.31871912907477,"GSDME","GSDME_HUMAN",-1.250905035
-1.6498875625,17.17577433375,-51.5510955308772,2.02453441645571e-10,2.79750829447626e-08,14.9565041753796,"VTNC_HUMAN",29,55.9610055449894,4.15745614936792e-11,4.80043806616742e-09,1.6498875625,"Up in D8CM",8.31871912907477,"VTN","VTNC_HUMAN",-1.6498875625
1.31454134,11.1332538125,52.3148142066058,1.82385995608175e-10,2.74368928918623e-08,15.0637835634023,"BYST_HUMAN",22,-55.6597307263114,4.32885411280729e-11,4.93079882660171e-09,-1.31454134,"Up in D1C",8.30708271604097,"BYSL","BYST_HUMAN",1.31454134
