"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","count","sca.t","sca.P.Value","sca.adj.pval","D2BM_vs_D8CM","Diff_Abund","negLog10_sca_adjPval","Genes","Protein.Names"
3.0829932675,12.37305986875,167.436087799914,6.3118296081993e-14,5.32024117675119e-10,21.6507848299083,"MUC18_HUMAN",25,185.156048824339,7.74038867240283e-15,4.95126702356079e-11,3.0829932675,"Up in D8CM",10.3052836513838,"MCAM","MUC18_HUMAN"
2.0301852225,14.42897653625,128.817240360226,3.98917765491479e-13,1.12082594844256e-09,20.5041798198561,"VILI_HUMAN",48,175.00296290077,1.17481718437793e-14,4.95126702356079e-11,2.0301852225,"Up in D8CM",10.3052836513838,"VIL1","VILI_HUMAN"
-2.82046794749999,14.89631032875,-143.844101841831,1.83635265302273e-13,7.73930825616432e-10,21.0198677087184,"FGL1_HUMAN",19,-146.658637357762,4.34192838599905e-14,1.21993714551953e-10,-2.82046794749999,"Up in D2BM",9.913662544782,"FGL1","FGL1_HUMAN"
2.0624239425,13.62814891375,105.984365639689,1.57249547641859e-12,2.65091287414646e-09,19.4803426515688,"EPIPL_HUMAN",173,137.042130758506,7.17079213914482e-14,1.51106517352129e-10,2.0624239425,"Up in D8CM",9.82071680376802,"EPPK1","EPIPL_HUMAN"
2.91868424425,9.938057780375,115.195153914037,8.7529295647214e-13,1.84446108252592e-09,19.9344838107484,"FBLI1_HUMAN",20,118.878699986315,2.05272855049722e-13,3.46048979042821e-10,2.91868424425,"Up in D8CM",9.46086242773148,"FBLIM1","FBLI1_HUMAN"
1.7065415375,13.72091555375,95.9783122481927,3.15744054882926e-12,3.80200948372597e-09,18.9094464244189,"PFKAP_HUMAN",36,115.772012403952,2.49685940083174e-13,3.50767131493513e-10,1.7065415375,"Up in D8CM",9.45498110880592,"PFKP","PFKAP_HUMAN"
1.993355035,15.8613141775,91.5626106529475,4.39649636439007e-12,4.11756309504932e-09,18.6274499951326,"FLNA_HUMAN",152,111.714040360364,3.25090718614181e-13,3.91455666742705e-10,1.993355035,"Up in D8CM",9.40731741567303,"FLNA","FLNA_HUMAN"
0.978670122500006,16.82397937875,65.3659408495052,4.69364839760258e-11,1.3056914404129e-08,16.4374430243704,"FAS_HUMAN",166,109.401150424062,3.79492896204204e-13,3.99843202763154e-10,0.978670122500006,"Up in D8CM",9.39811028248415,"FASN","FAS_HUMAN"
0.953818557499996,15.22441136875,69.5045586940355,3.04956314359854e-11,1.12156450485037e-08,16.8560644436265,"DPP4_HUMAN",42,103.409276447213,5.75598341372983e-13,5.28792673438563e-10,0.953818557499996,"Up in D8CM",9.27671457074489,"DPP4","DPP4_HUMAN"
-1.108525035,13.4761725675,-75.5082262762208,1.70396178142543e-11,8.97668365977184e-09,17.4082718131598,"TFR1_HUMAN",38,-102.212416761853,6.27349238864116e-13,5.28792673438563e-10,-1.108525035,"Up in D2BM",9.27671457074489,"TFRC","TFR1_HUMAN"
