"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","count","sca.t","sca.P.Value","sca.adj.pval","D3B_vs_D8C","Diff_Abund","negLog10_sca_adjPval","Genes","Protein.Names","D8C_vs_D3B"
-2.67153048625,9.488294959375,-44.9149740421741,4.73264820758385e-10,8.67206342211398e-08,14.1140946423837,"FIL1L_HUMAN",33,47.0644752394689,1.19356717490787e-10,2.05317912597927e-08,2.67153048625,"Up in D8C",7.68757315972303,"FILIP1L","FIL1L_HUMAN",-2.67153048625
1.66594505499999,12.552242755,44.4972328256965,5.05944005146659e-10,8.70326942730855e-08,14.0466060271071,"OAT_HUMAN",22,-46.5901525361857,1.28877315453321e-10,2.17261378391209e-08,-1.66594505499999,"Up in D3B",7.66301746945645,"OAT","OAT_HUMAN",1.66594505499999
-0.574524882500004,18.26012992875,-32.0358844973661,5.27691429976232e-09,3.89913603956253e-07,11.6014097355473,"GATM_HUMAN",48,46.3555759218752,1.33901206560235e-10,2.17687647928347e-08,0.574524882500004,"Up in D8C",7.66216621307535,"GATM","GATM_HUMAN",-0.574524882500004
-0.818126202500007,19.04093861625,-36.4236517105399,2.11319221660688e-09,2.2386390298274e-07,12.5712790213536,"K1C18_HUMAN",62,46.3375936744377,1.34295381329624e-10,2.17687647928347e-08,0.818126202500007,"Up in D8C",7.66216621307535,"KRT18","K1C18_HUMAN",-0.818126202500007
-0.636294127500005,13.81893456125,-32.1469361186413,5.14840945412956e-09,3.89913603956253e-07,11.6277524245569,"MYLK_HUMAN",99,46.0339941132573,1.41152538533669e-10,2.24485801377414e-08,0.636294127500005,"Up in D8C",7.6488111227161,"MYLK","MYLK_HUMAN",-0.636294127500005
-0.859890700000001,11.65042007,-37.1344064108382,1.84101086892655e-09,2.14162444019615e-07,12.7158651645171,"RIGI_HUMAN",49,45.6624594434479,1.50089216255021e-10,2.34278148854365e-08,0.859890700000001,"Up in D8C",7.63026821620251,"RIGI","RIGI_HUMAN",-0.859890700000001
-1.40495038,16.075894235,-42.0123659890138,7.62762833636786e-10,1.19061628235638e-07,13.6286707559008,"TPM4_HUMAN",30,45.5197734106232,1.5369005108661e-10,2.35536989201643e-08,1.40495038,"Up in D8C",7.62794088070188,"TPM4","TPM4_HUMAN",-1.40495038
-2.0492959025,13.35638427875,-46.6924789434424,3.58624775406702e-10,7.46610204382544e-08,14.3929099035152,"IL18_HUMAN",13,45.4112257083106,1.56494862664306e-10,2.35552713820971e-08,2.0492959025,"Up in D8C",7.62791188785673,"IL18","IL18_HUMAN",-2.0492959025
-1.01630473,10.906626105,-40.9649070077004,9.13488027962942e-10,1.30504925215248e-07,13.4435363948328,"APBA1_HUMAN",25,45.0253172907308,1.6694583517091e-10,2.4687481485186e-08,1.01630473,"Up in D8C",7.60752321273618,"APBA1","APBA1_HUMAN",-1.01630473
0.998782399999998,10.676424145,37.7490081058569,1.63750763346974e-09,2.02157162979665e-07,12.8383489754795,"LAMC1_HUMAN",57,-44.6554681304631,1.7770840640249e-10,2.57037405260192e-08,-0.998782399999998,"Up in D3B",7.590003671548,"LAMC1","LAMC1_HUMAN",0.998782399999998
1.6297562125,14.01238644125,43.0187294194651,6.44100391244277e-10,1.044061961115e-07,13.8014284098756,"LG3BP_HUMAN",20,-44.582703717627,1.79917035358303e-10,2.57037405260192e-08,-1.6297562125,"Up in D3B",7.590003671548,"LGALS3BP","LG3BP_HUMAN",1.6297562125
-2.50174593725,9.574505208875,-42.2831064619435,7.28555804555705e-10,1.15867865596227e-07,13.6756305711384,"TRFM_HUMAN",35,44.3630985782463,1.86773313834271e-10,2.62385377051511e-08,2.50174593725,"Up in D8C",7.58106037220338,"MELTF","TRFM_HUMAN",-2.50174593725
3.81867194325,9.673336625875,44.6088558316481,4.96967001156508e-10,8.70326942730855e-08,14.0647146587131,"DMBT1_HUMAN",10,-44.2588522770606,1.90131076743565e-10,2.62723745224837e-08,-3.81867194325,"Up in D3B",7.58050067348694,"DMBT1","DMBT1_HUMAN",3.81867194325
-0.726474290000002,14.8538591875,-36.2871520547478,2.17055995241098e-09,2.2386390298274e-07,12.5431414301335,"LPP_HUMAN",31,44.1108777783213,1.95015220013895e-10,2.65126337015664e-08,0.726474290000002,"Up in D8C",7.57654712834974,"LPP","LPP_HUMAN",-0.726474290000002
-1.8847584725,12.93947315375,-46.2527219059264,3.8371908969874e-10,7.52178652807134e-08,14.3251596210942,"CAV1_HUMAN",12,43.6285401514516,2.1194870045512e-10,2.83573904148604e-08,1.8847584725,"Up in D8C",7.54733373754298,"CAV1","CAV1_HUMAN",-1.8847584725
-1.54380393,12.218348145,-41.6817734154724,8.07039855011454e-10,1.21473909605206e-07,13.5708378069217,"FHL2_HUMAN",21,43.4518909641763,2.18561697902293e-10,2.87852586190379e-08,1.54380393,"Up in D8C",7.5408298643045,"FHL2","FHL2_HUMAN",-1.54380393
-2.52294981575,8.794277370375,-41.2228501815784,8.73443476008841e-10,1.29162369461027e-07,13.4896443223079,"BICC1_HUMAN",24,42.828203516349,2.43848014991171e-10,3.12902922825112e-08,2.52294981575,"Up in D8C",7.50459038009162,"BICC1","BICC1_HUMAN",-2.52294981575
-0.828209402499997,10.71982288375,-38.0474507755104,1.54801580276392e-09,1.94749629873091e-07,12.8969979345456,"GLSK_HUMAN",25,42.7187899027285,2.4861704139946e-10,3.12902922825112e-08,0.828209402499997,"Up in D8C",7.50459038009162,"GLS","GLSK_HUMAN",-0.828209402499997
1.855461595,14.6837913975,52.6262965925743,1.52462055028097e-10,5.35459442429929e-08,15.2356180558703,"SAA2_HUMAN",9,-42.7164844148323,2.48718659737603e-10,3.12902922825112e-08,-1.855461595,"Up in D3B",7.50459038009162,"SAA2","SAA2_HUMAN",1.855461595
0.946731565,10.33623433,37.2126623194235,1.81356297118808e-09,2.14162444019615e-07,12.7315900228591,"CO6_HUMAN",31,-42.1837952384848,2.73508857883138e-10,3.39030318102495e-08,-0.946731565,"Up in D3B",7.46976146287107,"C6","CO6_HUMAN",0.946731565
-0.956162454999999,14.41524458,-38.2490386513136,1.49071905707555e-09,1.90382892910451e-07,12.9363127678872,"HEXA_HUMAN",24,41.668569640011,3.00176427567767e-10,3.6552190229648e-08,0.956162454999999,"Up in D8C",7.43708659473481,"HEXA","HEXA_HUMAN",-0.956162454999999
-1.2708630525,13.40947055875,-49.060179140811,2.51810134851883e-10,6.88518975216227e-08,14.7445471772999,"CNN2_HUMAN",12,41.6070348176297,3.03553602571522e-10,3.6552190229648e-08,1.2708630525,"Up in D8C",7.43708659473481,"CNN2","CNN2_HUMAN",-1.2708630525
0.646496534999997,10.7288385625,30.8739259767472,6.86530947913003e-09,4.45136104612208e-07,11.3195722706862,"SORL_HUMAN",72,-41.4350869762322,3.1322061025917e-10,3.71850214630218e-08,-0.646496534999997,"Up in D3B",7.42963196350367,"SORL1","SORL_HUMAN",0.646496534999997
-0.80321717,15.062725185,-36.2085965679221,2.20437821183621e-09,2.2386390298274e-07,12.5268933527638,"ANX11_HUMAN",27,41.273856558172,3.22602461662175e-10,3.7766890963201e-08,0.80321717,"Up in D8C",7.42288876558553,"ANXA11","ANX11_HUMAN",-0.80321717
1.1407251325,11.86908387875,38.8080423317167,1.344060961463e-09,1.77017028815182e-07,13.0440869587843,"PDCD4_HUMAN",21,-40.7571114334126,3.54882578605243e-10,4.09767843159397e-08,-1.1407251325,"Up in D3B",7.38746212618469,"PDCD4","PDCD4_HUMAN",1.1407251325
-1.2872567175,13.69389891375,-37.6932804044813,1.65486347675844e-09,2.02157162979665e-07,12.8273381642386,"HTRA1_HUMAN",27,40.41205691964,3.78470255284856e-10,4.31098078621088e-08,1.2872567175,"Up in D8C",7.36542391276689,"HTRA1","HTRA1_HUMAN",-1.2872567175
1.055758715,13.4210153825,36.2975563995788,2.16612533322663e-09,2.2386390298274e-07,12.545290405091,"MA1A1_HUMAN",31,-40.1582378404546,3.96954612489216e-10,4.46124057156214e-08,-1.055758715,"Up in D3B",7.35054435687834,"MAN1A1","MA1A1_HUMAN",1.055758715
0.871165277499999,16.40417528125,39.774184229633,1.12765935224124e-09,1.57696656831654e-07,13.2261565194328,"DHI1_HUMAN",18,-40.0750411322887,4.03233983234959e-10,4.47218321669404e-08,-0.871165277499999,"Up in D3B",7.34948041255247,"HSD11B1","DHI1_HUMAN",0.871165277499999
-0.816790345000003,12.1938444375,-34.0591980897319,3.41054522610763e-09,2.96365832070734e-07,12.0660935231171,"ITB5_HUMAN",36,39.9715486685638,4.11202581352924e-10,4.48867758095852e-08,0.816790345000003,"Up in D8C",7.34788158859242,"ITGB5","ITB5_HUMAN",-0.816790345000003
0.765916584999996,12.307047485,36.2125530176463,2.20266067285234e-09,2.2386390298274e-07,12.5277126504876,"DEOC_HUMAN",23,-39.9183013191234,4.15371753843593e-10,4.48867758095852e-08,-0.765916584999996,"Up in D3B",7.34788158859242,"DERA","DEOC_HUMAN",0.765916584999996
-1.175118925,17.5329873575,-36.6043921704412,2.03986857021531e-09,2.2386390298274e-07,12.6083511727823,"CLUS_HUMAN",30,39.8426225903006,4.21379783238127e-10,4.49596226951161e-08,1.175118925,"Up in D8C",7.34717734205903,"CLU","CLUS_HUMAN",-1.175118925
0.622938872499999,15.34726059375,33.3535382098326,3.9594903977228e-09,3.25728296707333e-07,11.90761424924,"CGL_HUMAN",26,-39.3632014372348,4.61804426530304e-10,4.85348299446095e-08,-0.622938872499999,"Up in D3B",7.31394648770973,"CTH","CGL_HUMAN",0.622938872499999
-1.1486833075,12.69106614625,-37.0304559406588,1.87820571613922e-09,2.14162444019615e-07,12.6949181675434,"PEG10_HUMAN",23,39.3116755941889,4.66404226540915e-10,4.85348299446095e-08,1.1486833075,"Up in D8C",7.31394648770973,"PEG10","PEG10_HUMAN",-1.1486833075
-1.7032868855,10.37825906225,-37.0474010434056,1.87208456876118e-09,2.14162444019615e-07,12.6983373731361,"EPHA2_HUMAN",28,39.0536822562807,4.90229310714723e-10,4.95553066971248e-08,1.7032868855,"Up in D8C",7.30490983167568,"EPHA2","EPHA2_HUMAN",-1.7032868855
0.657698634999999,14.9602060325,35.298046346756,2.64352265726653e-09,2.47580583089995e-07,12.3355740084745,"RGN_HUMAN",22,-39.0311096587841,4.92378494577161e-10,4.95553066971248e-08,-0.657698634999999,"Up in D3B",7.30490983167568,"RGN","RGN_HUMAN",0.657698634999999
-0.659495355000001,11.1912591475,-31.9995602533388,5.31973715209029e-09,3.89913603956253e-07,11.5927712466202,"AT8B1_HUMAN",33,39.0157384824354,4.93848115145151e-10,4.95553066971248e-08,0.659495355000001,"Up in D8C",7.30490983167568,"ATP8B1","AT8B1_HUMAN",-0.659495355000001
-1.045382735,12.6653240925,-35.6361767453266,2.46974525983102e-09,2.39281411438111e-07,12.4072687630734,"CAP2_HUMAN",27,38.7912148573889,5.15890051602282e-10,5.11580852347722e-08,1.045382735,"Up in D8C",7.29108571883636,"CAP2","CAP2_HUMAN",-1.045382735
-0.801885364999999,13.6763733625,-35.9421047269122,2.32365561555941e-09,2.33167775994646e-07,12.4714719782312,"FUCO2_HUMAN",21,38.3203483615503,5.65826564775673e-10,5.54575827266761e-08,0.801885364999999,"Up in D8C",7.25603906428115,"FUCA2","FUCO2_HUMAN",-0.801885364999999
-1.91910147675,9.517060399125,-38.4647349002046,1.4320704159276e-09,1.8570648516698e-07,12.9781138671929,"ASM3B_HUMAN",13,37.8739377395651,6.18271361154692e-10,5.99012563583091e-08,1.91910147675,"Up in D8C",7.22256406869985,"SMPDL3B","ASM3B_HUMAN",-1.91910147675
1.8067502975,8.60410785675,36.9554220580915,1.90558587038452e-09,2.14162444019615e-07,12.679756093357,"EXT1_HUMAN",17,-37.6795225788333,6.42813574911452e-10,6.15713138969163e-08,-1.8067502975,"Up in D3B",7.21062157871172,"EXT1","EXT1_HUMAN",1.8067502975
-0.78079009,10.67740357,-30.9894177165112,6.68517840918991e-09,4.4022944383642e-07,11.3481042308617,"TENA_HUMAN",61,37.4201138579712,6.77294725125362e-10,6.41451375065357e-08,0.78079009,"Up in D8C",7.19283625954031,"TNC","TENA_HUMAN",-0.78079009
0.858315947500001,13.24943017875,32.3811907857738,4.88885205656118e-09,3.81556796155131e-07,11.6829907220657,"TFR1_HUMAN",38,-37.2039203478505,7.07634981558196e-10,6.588874855024e-08,-0.858315947500001,"Up in D3B",7.18118874109242,"TFRC","TFR1_HUMAN",0.858315947500001
-0.979755163250003,9.187397599125,-35.3128034293137,2.63565391635894e-09,2.47580583089995e-07,12.3387192446208,"KIBRA_HUMAN",21,37.1782470283418,7.11338962874818e-10,6.588874855024e-08,0.979755163250003,"Up in D8C",7.18118874109242,"WWC1","KIBRA_HUMAN",-0.979755163250003
-0.914849759999999,16.1078064425,-39.7075586421247,1.14123811445377e-09,1.57696656831654e-07,13.2137677834142,"BAAT_HUMAN",15,36.9944353883829,7.38507814033104e-10,6.76617648313591e-08,0.914849759999999,"Up in D8C",7.16965667863605,"BAAT","BAAT_HUMAN",-0.914849759999999
-0.960114000000001,12.4108726975,-43.5195887931125,5.929778849615e-10,9.99069930647521e-08,13.8856102885096,"CAPG_HUMAN",13,36.8545441856227,7.59972226770073e-10,6.85844020221046e-08,0.960114000000001,"Up in D8C",7.1637746435641,"CAPG","CAPG_HUMAN",-0.960114000000001
-0.811720847500002,17.58442545125,-33.9334259453034,3.50169456122661e-09,3.01181463842644e-07,12.0381185994234,"HSPB1_HUMAN",23,36.8233669096951,7.64851558913018e-10,6.85844020221046e-08,0.811720847500002,"Up in D8C",7.1637746435641,"HSPB1","HSPB1_HUMAN",-0.811720847500002
