"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","count","sca.t","sca.P.Value","sca.adj.pval","D8B_vs_D8BM","Diff_Abund","negLog10_sca_adjPval","Genes","Protein.Names","D8BM_vs_D8B"
3.24079967,13.392549635,101.599055310045,1.51637035420646e-12,1.27814857156063e-08,11.3312590918209,"HBSAG_HBVD3",7,-62.4986725372469,1.81814494928455e-11,1.53251437775195e-07,-3.24079967,"Up in D8B",6.81459544232404,"S","HBSAG_HBVD3",3.24079967
-0.872330427500001,14.16092836875,-29.2384151270738,1.07466865023713e-08,4.52919102642438e-05,9.27725211093387,"HRG_HUMAN",22,31.3862231017129,3.12506372631955e-09,1.31705810745737e-05,0.872330427500001,"Up in D8BM",4.88039506392098,"HRG","HRG_HUMAN",-0.872330427500001
3.85111689725,11.912799476375,27.515194282066,1.6523344126679e-08,4.64250892145923e-05,9.05807599859937,"CAPSD_HBVD3",7,-26.9872333528761,9.61250633463972e-09,2.48914745951251e-05,-3.85111689725,"Up in D8B",4.60394937460248,"C","CAPSD_HBVD3",3.85111689725
-0.954419374999999,11.819284795,-25.498000416325,2.83135570974818e-08,5.96637431936684e-05,8.76304368441009,"RCN2_HUMAN",19,26.2489754113306,1.1812302572132e-08,2.48914745951251e-05,0.954419374999999,"Up in D8BM",4.60394937460248,"RCN2","RCN2_HUMAN",-0.954419374999999
0.86644673,12.94391191,23.1835650372129,5.54400505213465e-08,9.3460837168886e-05,8.36265279867118,"RIR2B_HUMAN",23,-24.6118035006111,1.9052222649251e-08,3.21182369421074e-05,-0.86644673,"Up in D8B",4.49324830235129,"RRM2B","RIR2B_HUMAN",0.86644673
-0.560333252500001,11.63098978875,-15.8528894334326,7.97238535224576e-07,0.000766728869299147,6.43672723019946,"AKA12_HUMAN",65,18.3873274018844,1.64280981231267e-07,0.000203136873269466,0.560333252500001,"Up in D8BM",3.6922112365954,"AKAP12","AKA12_HUMAN",-0.560333252500001
0.670689819999996,10.4676171525,17.9966086363225,3.28854372227851e-07,0.000461985583918092,7.13317360333639,"TREA_HUMAN",18,-18.3211023290792,1.68698316868699e-07,0.000203136873269466,-0.670689819999996,"Up in D8B",3.6922112365954,"TREH","TREA_HUMAN",0.670689819999996
0.99516773175,10.494542121625,16.6353161564193,5.69847136351527e-07,0.000686177358901003,6.70697896110476,"DDB2_HUMAN",17,-16.9190162023821,3.02653205254536e-07,0.000318882983386311,-0.99516773175,"Up in D8B",3.49636865547829,"DDB2","DDB2_HUMAN",0.99516773175
-0.391655685,11.395777345,-14.2240452165553,1.69223218743326e-06,0.00129671137344318,5.80539456562808,"GPC1_HUMAN",24,15.7532291914119,5.10252001149095e-07,0.000477879346409524,0.391655685,"Non-significant",3.32068173895861,"GPC1","GPC1_HUMAN",-0.391655685
0.266622067500002,15.37617254375,11.2968573343593,8.23005979815639e-06,0.00365111442308738,4.37767781312996,"THRB_HUMAN",47,-15.4176863487499,5.97079122483386e-07,0.000503277992341246,-0.266622067500002,"Non-significant",3.29819206029177,"F2","THRB_HUMAN",0.266622067500002
-0.924414634499999,8.28661632525,-14.5957553192428,1.4153466058733e-06,0.00119299565409061,5.95833893825929,"NSE3_HUMAN",15,14.678566527845,8.53987565615925e-07,0.000654387380961512,0.924414634499999,"Up in D8BM",3.18416508407943,"NSMCE3","NSE3_HUMAN",-0.924414634499999
1.327451945,9.63396132,15.7925977552549,8.1866886032653e-07,0.000766728869299147,6.41506870931841,"CDN1A_HUMAN",7,-14.4455360781075,9.59361016765458e-07,0.000673871167526337,-1.327451945,"Up in D8B",3.17142312509749,"CDKN1A","CDN1A_HUMAN",1.327451945
-0.298987392500001,11.75021028625,-10.6254842547808,1.24686169765491e-05,0.00477718056796965,3.98344769209664,"PAR14_HUMAN",98,13.7819945352024,1.34947194961514e-06,0.000874976851023538,0.298987392500001,"Non-significant",3.05800343681281,"PARP14","PAR14_HUMAN",-0.298987392500001
-0.365428210000001,11.7047888025,-11.6503290541817,6.67234182926823e-06,0.00351507307993137,4.57402075942885,"MX1_HUMAN",35,13.3821382935584,1.66996453860638e-06,0.00100543793542237,0.365428210000001,"Non-significant",2.99764473276043,"MX1","MX1_HUMAN",-0.365428210000001
0.3975966,14.2887552975,11.332429636347,8.05593976591601e-06,0.00365111442308738,4.39777556258581,"ADRO_HUMAN",36,-12.7252544453744,2.40134736638595e-06,0.00134939713008448,-0.3975966,"Non-significant",2.86986021784295,"FDXR","ADRO_HUMAN",0.3975966
0.280934812499996,10.37788081125,10.0422330614897,1.82403463868079e-05,0.00591337998824629,3.61647341416153,"CEMIP_HUMAN",54,-12.5681616988034,2.62598560054257e-06,0.00138340203918583,-0.280934812499996,"Non-significant",2.85905158849072,"CEMIP","CEMIP_HUMAN",0.280934812499996
0.414071800000002,11.5224369775,13.8493658779937,2.03530371981045e-06,0.00142963125452352,5.64546427995385,"TIGAR_HUMAN",12,-11.6485627486804,4.52874159429674e-06,0.0021547182487528,-0.414071800000002,"Non-significant",2.66660951019545,"TIGAR","TIGAR_HUMAN",0.414071800000002
-0.931804180249999,8.906871557125,-12.3249686827057,4.54098247111718e-06,0.00255172941660311,4.92893921181766,"NSE2_HUMAN",9,11.6226629874997,4.6013677159272e-06,0.0021547182487528,0.931804180249999,"Up in D8BM",2.66660951019545,"NSMCE2","NSE2_HUMAN",-0.931804180249999
