"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","count","sca.t","sca.P.Value","sca.adj.pval","D1CM_vs_D5B","Diff_Abund","negLog10_sca_adjPval","Genes","Protein.Names","D5B_vs_D1CM"
-2.256884335,12.18394983,-61.6191980102516,4.08989592304374e-11,1.01393331574517e-08,16.5484668167089,"PCSK6_HUMAN",46,67.0517776605989,4.70481693593386e-12,1.19278402247728e-09,2.256884335,"Up in D5B",8.92343818695649,"PCSK6","PCSK6_HUMAN",-2.256884335
-2.1545536515,10.41421258425,-66.3153975236904,2.40548233240076e-11,8.22262285087816e-09,17.0629530609598,"PRS23_HUMAN",17,66.767650006902,4.86300891238724e-12,1.19278402247728e-09,2.1545536515,"Up in D5B",8.92343818695649,"PRSS23","PRS23_HUMAN",-2.1545536515
-1.254805565,11.43932271,-56.5068280175308,7.64644278342652e-11,1.65261195439749e-08,15.9284192655245,"UBA7_HUMAN",41,66.610917732349,4.95283435599772e-12,1.19278402247728e-09,1.254805565,"Up in D5B",8.92343818695649,"UBA7","UBA7_HUMAN",-1.254805565
-1.1542007925,12.76685607375,-51.6941550379772,1.45429438347995e-10,2.02625429487879e-08,15.2779123535512,"FA5_HUMAN",71,63.8095093022402,6.92089746420457e-12,1.62045124238279e-09,1.1542007925,"Up in D5B",8.79036403188427,"F5","FA5_HUMAN",-1.1542007925
-1.17801666,13.20515418,-51.4043355853179,1.51454449786172e-10,2.05904767298007e-08,15.2364189193937,"CO5_HUMAN",77,63.0578925930103,7.58981352822974e-12,1.69930068024332e-09,1.17801666,"Up in D5B",8.76972976873729,"C5","CO5_HUMAN",-1.17801666
1.3023541,12.1803227675,55.2862181915823,8.95285930783857e-11,1.7010347746473e-08,15.7700065196845,"MX1_HUMAN",35,-62.9824766105786,7.66086437884044e-12,1.69930068024332e-09,-1.3023541,"Up in D1CM",8.76972976873729,"MX1","MX1_HUMAN",1.3023541
-1.8752717975,10.42548108125,-65.5028156536374,2.62965595621417e-11,8.22262285087816e-09,16.9773724826494,"F151A_HUMAN",14,61.9503433330601,8.71265300677594e-12,1.88305005625934e-09,1.8752717975,"Up in D5B",8.72513813517809,"FAM151A","F151A_HUMAN",-1.8752717975
-1.3097772575,12.58289027125,-62.3222993818115,3.7679771028324e-11,9.7120760512896e-09,16.6286532131186,"ACMSD_HUMAN",18,61.6479629471472,9.05096695936865e-12,1.89425411884941e-09,1.3097772575,"Up in D5B",8.72256175975143,"ACMSD","ACMSD_HUMAN",-1.3097772575
1.8818190075,14.82046449125,58.2731869229379,6.12201900539641e-11,1.3579604788549e-08,16.1503241446153,"SQSTM_HUMAN",24,-61.5068051817807,9.21395407199261e-12,1.89425411884941e-09,-1.8818190075,"Up in D1CM",8.72256175975143,"SQSTM1","SQSTM_HUMAN",1.8818190075
-1.47342181325,10.489846110875,-54.4127312610016,1.00441678491465e-10,1.7010347746473e-08,15.6539884495009,"ERBB2_HUMAN",39,61.0659690559406,9.7446723531732e-12,1.9556629348785e-09,1.47342181325,"Up in D5B",8.70870599522153,"ERBB2","ERBB2_HUMAN",-1.47342181325
-0.808688162500001,16.49300002875,-43.1441509543562,5.36184465108581e-10,4.34567197730791e-08,13.9227360902486,"CO3_HUMAN",118,60.6630441409774,1.02600704968486e-11,2.01121242367294e-09,0.808688162500001,"Up in D5B",8.69654205692346,"C3","CO3_HUMAN",-0.808688162500001
-0.991296524999999,13.75580585,-54.475048344285,9.9614800220932e-11,1.7010347746473e-08,15.6623406120033,"HEXA_HUMAN",24,59.7051124488555,1.16135552335299e-11,2.22478766053235e-09,0.991296524999999,"Up in D5B",8.65271143288966,"HEXA","HEXA_HUMAN",-0.991296524999999
-1.45208311,11.94639349,-55.0243887122643,9.26514195028509e-11,1.7010347746473e-08,15.7354662956396,"KNG1_HUMAN",26,59.2792464617452,1.22790934867384e-11,2.30001064443818e-09,1.45208311,"Up in D5B",8.63827015406499,"KNG1","KNG1_HUMAN",-1.45208311
-1.1296250825,14.87112534125,-54.5879016956165,9.81369985025485e-11,1.7010347746473e-08,15.6774363868633,"GSTM3_HUMAN",24,59.0660139524474,1.26284202014883e-11,2.31402073648576e-09,1.1296250825,"Up in D5B",8.63563275355152,"GSTM3","GSTM3_HUMAN",-1.1296250825
1.64234543,11.4923853875,65.1788429372567,2.72559152407861e-11,8.22262285087816e-09,16.9428643374609,"HLAE_HUMAN",13,-58.1803382224723,1.4204437276028e-11,2.39911013846607e-09,-1.64234543,"Up in D1CM",8.6199498139621,"HLA-E","HLAE_HUMAN",1.64234543
-1.2081365575,15.22549819875,-49.5369759844409,1.97834318508178e-10,2.3780949997354e-08,14.9622024697538,"ITIH2_HUMAN",51,58.0573744372033,1.4440300668716e-11,2.39911013846607e-09,1.2081365575,"Up in D5B",8.6199498139621,"ITIH2","ITIH2_HUMAN",-1.2081365575
-1.29281211,15.3998981725,-52.4091148028209,1.31697807193175e-10,1.94751020496715e-08,15.3790910199031,"APOA1_HUMAN",30,58.0416001462698,1.44708766290432e-11,2.39911013846607e-09,1.29281211,"Up in D5B",8.6199498139621,"APOA1","APOA1_HUMAN",-1.29281211
-1.061781165,12.876217485,-49.6098478929404,1.95746081327278e-10,2.3780949997354e-08,14.9731322543807,"PFKAP_HUMAN",36,58.0351082049239,1.44834814330591e-11,2.39911013846607e-09,1.061781165,"Up in D5B",8.6199498139621,"PFKP","PFKAP_HUMAN",-1.061781165
-1.3163535625,14.50232899125,-49.159189666068,2.09075030277235e-10,2.40938378728723e-08,14.9052333994004,"APOB_HUMAN",250,57.9292071326584,1.46908585186472e-11,2.39911013846607e-09,1.3163535625,"Up in D5B",8.6199498139621,"APOB","APOB_HUMAN",-1.3163535625
1.1642017375,11.15341329625,51.1022008580163,1.5803981277089e-10,2.11447235213624e-08,15.1928633046683,"HMDH_HUMAN",32,-57.8738771964299,1.48005370981416e-11,2.39911013846607e-09,-1.1642017375,"Up in D1CM",8.6199498139621,"HMGCR","HMDH_HUMAN",1.1642017375
-1.9490056045,10.37104511275,-52.0015670404767,1.3933481338316e-10,1.990598545774e-08,15.3216209182954,"PTPRF_HUMAN",72,57.0393840526775,1.65719564547806e-11,2.63556643315747e-09,1.9490056045,"Up in D5B",8.57912603230803,"PTPRF","PTPRF_HUMAN",-1.9490056045
-3.15629196125,10.504422664375,-54.3851811056323,1.00809725917756e-10,1.7010347746473e-08,15.650292272488,"AMY1B_HUMAN;AMY1C_HUMAN;AMY1A_HUMAN",20,56.3722813934883,1.81609709768318e-11,2.83479304377251e-09,3.15629196125,"Up in D5B",8.54747864161354,"AMY1B;AMY1C;AMY1A","AMY1B_HUMAN;AMY1C_HUMAN;AMY1A_HUMAN",-3.15629196125
-2.74354099975,10.995854972625,-53.6755058301397,1.10840641723442e-10,1.76508065762021e-08,15.5542883339172,"CO6A1_HUMAN",24,56.0879065651958,1.88900441648947e-11,2.8585619470122e-09,2.74354099975,"Up in D5B",8.54385239188628,"COL6A1","CO6A1_HUMAN",-2.74354099975
1.155487065,16.815246105,49.4515693827423,2.0031408824441e-10,2.3780949997354e-08,14.9493684223458,"A1AT_HUMAN",33,-55.9868178874518,1.91571216854909e-11,2.8585619470122e-09,-1.155487065,"Up in D1CM",8.54385239188628,"SERPINA1","A1AT_HUMAN",1.155487065
-1.127574445,17.772806405,-47.5650775174236,2.6523893217391e-10,2.77462907050723e-08,14.6590393156865,"GATM_HUMAN",48,55.9219865305839,1.93306478799022e-11,2.8585619470122e-09,1.127574445,"Up in D5B",8.54385239188628,"GATM","GATM_HUMAN",-1.127574445
-1.9900879825,12.22220850125,-75.090810126383,9.79639777349225e-12,6.61001179181691e-09,17.906312476361,"GSTM4_HUMAN",9,55.7287510954654,1.98584664199812e-11,2.88598299058658e-09,1.9900879825,"Up in D5B",8.53970623288083,"GSTM4","GSTM4_HUMAN",-1.9900879825
-1.744990825,15.5257136825,-53.5502511053651,1.12726577760367e-10,1.76508065762021e-08,15.5371839984257,"FGL1_HUMAN",19,54.9165189603835,2.22621641852148e-11,3.18047087995213e-09,1.744990825,"Up in D5B",8.49750857642261,"FGL1","FGL1_HUMAN",-1.744990825
-1.3451709725,14.56777477125,-48.7201644180056,2.23061560362902e-10,2.44179986012844e-08,14.8383771204092,"NHRF3_HUMAN",36,54.1525883095623,2.48261511729677e-11,3.48766047061575e-09,1.3451709725,"Up in D5B",8.45746580095143,"PDZK1","NHRF3_HUMAN",-1.3451709725
-0.727661845,11.7165085075,-42.4148935545693,6.06333391968743e-10,4.66693599574561e-08,13.7929812165733,"ITB5_HUMAN",36,53.8231576840036,2.60333593066703e-11,3.59729812452334e-09,0.727661845,"Up in D5B",8.44402356872299,"ITGB5","ITB5_HUMAN",-0.727661845
-1.486416815,17.0586438175,-49.6709747298226,1.94013742219255e-10,2.3780949997354e-08,14.9822857982243,"VTNC_HUMAN",29,53.6621694542423,2.66472904650296e-11,3.62274211822153e-09,1.486416815,"Up in D5B",8.44096257974395,"VTN","VTNC_HUMAN",-1.486416815
-1.058960195,11.7391184575,-54.3781641385804,1.0090371186661e-10,1.7010347746473e-08,15.6493504994202,"IGSF8_HUMAN",18,53.3867416271879,2.77358882673985e-11,3.65765725147920e-09,1.058960195,"Up in D5B",8.43679699343734,"IGSF8","IGSF8_HUMAN",-1.058960195
-1.938807485,12.0802569375,-56.0140562050565,8.14583142600141e-11,1.65592837620881e-08,15.864977830859,"IL18_HUMAN",13,53.3760883859191,2.77789904919791e-11,3.65765725147920e-09,1.938807485,"Up in D5B",8.43679699343734,"IL18","IL18_HUMAN",-1.938807485
-3.214600565,12.4846599125,-53.9959789298042,1.06176609868681e-10,1.75482871486885e-08,15.5978314002544,"TSK_HUMAN",11,53.2258157455501,2.839510206061e-11,3.65765725147920e-09,3.214600565,"Up in D5B",8.43679699343734,"TSKU","TSK_HUMAN",-3.214600565
1.5488531625,11.37489211375,49.8759592505221,1.88330521547211e-10,2.3780949997354e-08,15.0128844691467,"ZN622_HUMAN",26,-53.1671358201722,2.86398598407435e-11,3.65765725147920e-09,-1.5488531625,"Up in D1CM",8.43679699343734,"ZNF622","ZN622_HUMAN",1.5488531625
-1.2576780325,17.97640609875,-47.0798909874938,2.85609701764599e-10,2.86595735258786e-08,14.5821832223095,"BHMT1_HUMAN",37,52.7221844538691,3.05751729390162e-11,3.84653929407414e-09,1.2576780325,"Up in D5B",8.4149298266963,"BHMT","BHMT1_HUMAN",-1.2576780325
-2.1516923925,13.78363227875,-56.2980011888028,7.85369372520965e-11,1.6549696102448e-08,15.9016176297971,"SCD_HUMAN",11,51.969176510256,3.41960285160243e-11,4.19956836907654e-09,2.1516923925,"Up in D5B",8.37679534402144,"SCD","SCD_HUMAN",-2.1516923925
1.19817257,11.5350131975,44.7474716930378,4.12099110104037e-10,3.61831604069472e-08,14.1994206480434,"AKA12_HUMAN",65,-51.8729898104218,3.46924475764969e-11,4.19956836907654e-09,-1.19817257,"Up in D1CM",8.37679534402144,"AKAP12","AKA12_HUMAN",1.19817257
-1.59639668,13.77317488,-50.1865264102929,1.80077150843678e-10,2.37167235072088e-08,15.0589608641415,"QORX_HUMAN",20,51.8378173619952,3.48759978449826e-11,4.19956836907654e-09,1.59639668,"Up in D5B",8.37679534402144,"TP53I3","QORX_HUMAN",-1.59639668
-1.204123735,12.6925340875,-47.4498026593989,2.69924764244386e-10,2.77462907050723e-08,14.6408623337223,"AS3MT_HUMAN",27,51.5822398405328,3.62431298511324e-11,4.23424537951094e-09,1.204123735,"Up in D5B",8.37322397771017,"AS3MT","AS3MT_HUMAN",-1.204123735
-1.627429965,12.395600795,-47.9227079799792,2.51280087811988e-10,2.68106311413576e-08,14.7151056819314,"PROS_HUMAN",31,51.535500362991,3.64996317597464e-11,4.23424537951094e-09,1.627429965,"Up in D5B",8.37322397771017,"PROS1","PROS_HUMAN",-1.627429965
-2.3108279725,12.57221448375,-48.9775052363423,2.14738482144445e-10,2.41337422132737e-08,14.877651558818,"HTRA1_HUMAN",27,51.5044786492829,3.66710063713724e-11,4.23424537951094e-09,2.3108279725,"Up in D5B",8.37322397771017,"HTRA1","HTRA1_HUMAN",-2.3108279725
-3.23937964425,9.417986035375,-52.1605506850963,1.36297210699416e-10,1.9807744637679e-08,15.3441040946291,"MIME_HUMAN",10,50.9110557775078,4.01305239954224e-11,4.50080707961063e-09,3.23937964425,"Up in D5B",8.34670960204845,"OGN","MIME_HUMAN",-3.23937964425
0.676314592499995,14.97741305625,38.8349815898621,1.14499357093841e-09,6.79658507707033e-08,13.1172960177525,"FKBP4_HUMAN",42,-50.8831958576756,4.03017653522809e-11,4.50080707961063e-09,-0.676314592499995,"Up in D1CM",8.34670960204845,"FKBP4","FKBP4_HUMAN",0.676314592499995
-4.308925509,8.731084883,-49.8742068410462,1.88378297624248e-10,2.3780949997354e-08,15.0126235133723,"TSP3_HUMAN",12,50.7774887417917,4.09590328406566e-11,4.50080707961063e-09,4.308925509,"Up in D5B",8.34670960204845,"THBS3","TSP3_HUMAN",-4.308925509
-0.862288235000001,12.5864974275,-41.4232690590211,7.19119137205637e-10,5.18073094658659e-08,13.6124292119911,"DSG2_HUMAN",47,50.752613859842,4.11154520263398e-11,4.50080707961063e-09,0.862288235000001,"Up in D5B",8.34670960204845,"DSG2","DSG2_HUMAN",-0.862288235000001
1.1526370025,12.21726560625,46.358465446199,3.19278425685745e-10,3.07327453348624e-08,14.4661830382746,"ABCF2_HUMAN",27,-50.4976805665134,4.27579681825492e-11,4.54618577088572e-09,-1.1526370025,"Up in D1CM",8.34235282166381,"ABCF2","ABCF2_HUMAN",1.1526370025
1.3130710125,11.91169631375,45.1914827195171,3.83763771241478e-10,3.47822024494024e-08,14.2740370719795,"DDX21_HUMAN",43,-50.4768878944997,4.28951651064275e-11,4.54618577088572e-09,-1.3130710125,"Up in D1CM",8.34235282166381,"DDX21","DDX21_HUMAN",1.3130710125
-1.1062462325,12.84098804125,-44.8253372834025,4.06962302188563e-10,3.61831604069472e-08,14.2125674648143,"CADH2_HUMAN",34,50.4387590469675,4.31480438570243e-11,4.54618577088572e-09,1.1062462325,"Up in D5B",8.34235282166381,"CDH2","CADH2_HUMAN",-1.1062462325
-0.998999356499997,10.33585274175,-54.5836539242832,9.81921687269168e-11,1.7010347746473e-08,15.676868875262,"GPC6_HUMAN",16,50.1322298497516,4.52432275224028e-11,4.67585313514814e-09,0.998999356499997,"Up in D5B",8.33013913814245,"GPC6","GPC6_HUMAN",-0.998999356499997
-0.972398285000001,10.877829075,-43.4810317805652,5.06931512241302e-10,4.23061952146727e-08,13.9818363438865,"VLDLR_HUMAN",35,50.0974398429105,4.54881904237926e-11,4.67585313514814e-09,0.972398285000001,"Up in D5B",8.33013913814245,"VLDLR","VLDLR_HUMAN",-0.972398285000001
1.014067415,12.13994348,44.1776402750428,4.5201852427907e-10,3.88782055219212e-08,14.1024035985834,"LPIN2_HUMAN",32,-49.960663102277,4.64658689853166e-11,4.67819824772722e-09,-1.014067415,"Up in D1CM",8.32992137806563,"LPIN2","LPIN2_HUMAN",1.014067415
0.826198817499996,10.16460478375,40.7080562905725,8.15340598640856e-10,5.54740976743052e-08,13.4791521661731,"MSH6_HUMAN",44,-49.9392549536066,4.6621028925031e-11,4.67819824772722e-09,-0.826198817499996,"Up in D1CM",8.32992137806563,"MSH6","MSH6_HUMAN",0.826198817499996
1.15539789,10.91100645,49.8006909481903,1.90395046658448e-10,2.3780949997354e-08,15.0016662738749,"TTC4_HUMAN",18,-49.6737503606558,4.85946961372659e-11,4.81887874989429e-09,-1.15539789,"Up in D1CM",8.31705400105183,"TTC4","TTC4_HUMAN",1.15539789
-1.2616541375,12.15841972875,-49.0799161586962,2.11524973614017e-10,2.40938378728723e-08,14.8932135562168,"BODG_HUMAN",18,49.3071905323482,5.1476326667642e-11,5.04527857536691e-09,1.2616541375,"Up in D5B",8.29711484916849,"BBOX1","BODG_HUMAN",-1.2616541375
-1.6859834225,11.08128511875,-48.2953429574862,2.3761750631871e-10,2.56779225738514e-08,14.7730053068136,"ASM3A_HUMAN",17,48.8190903380714,5.56173487627573e-11,5.38849003127909e-09,1.6859834225,"Up in D5B",8.26853291625208,"SMPDL3A","ASM3A_HUMAN",-1.6859834225
-1.8659977925,13.37073874375,-47.4742762993663,2.68922106592043e-10,2.77462907050723e-08,14.6447257424248,"FADS2_HUMAN",18,48.5844868147151,5.77404736386906e-11,5.49693387692084e-09,1.8659977925,"Up in D5B",8.25987948716764,"FADS2","FADS2_HUMAN",-1.8659977925
0.913430452499998,12.49385845625,42.3886709992314,6.09043729424625e-10,4.66693599574561e-08,13.7882684205493,"HEM1_HUMAN",32,-48.5520723560223,5.80409437710232e-11,5.49693387692084e-09,-0.913430452499998,"Up in D1CM",8.25987948716764,"ALAS1","HEM1_HUMAN",0.913430452499998
1.2749631435,10.41720712325,52.6443283798602,1.27507440093552e-10,1.94751020496715e-08,15.4120153495698,"FADS3_HUMAN",14,-48.1881758890814,6.15379809168512e-11,5.76337379053487e-09,-1.2749631435,"Up in D1CM",8.23932321281456,"FADS3","FADS3_HUMAN",1.2749631435
1.25682020250001,11.21301627125,46.0886550288138,3.33013875269974e-10,3.11885994961179e-08,14.4222595686846,"DCA13_HUMAN",20,-47.519444140337,6.8602221129128e-11,6.26149014003012e-09,-1.25682020250001,"Up in D1CM",8.20332229896543,"DCAF13","DCA13_HUMAN",1.25682020250001
0.902535195000002,13.11203015,40.2517767431819,8.84364883243195e-10,5.77853612469527e-08,13.3927445379423,"TOP1_HUMAN",42,-47.4519745780596,6.93643573635574e-11,6.26149014003012e-09,-0.902535195000002,"Up in D1CM",8.20332229896543,"TOP1","TOP1_HUMAN",0.902535195000002
-1.00616026,13.90540123,-41.5739874443035,7.00530686678106e-10,5.09032168793944e-08,13.6401843982672,"CAN2_HUMAN",37,47.4113564944669,6.98277821091399e-11,6.26149014003012e-09,1.00616026,"Up in D5B",8.20332229896543,"CAPN2","CAN2_HUMAN",-1.00616026
