"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","count","sca.t","sca.P.Value","sca.adj.pval","D1CM_vs_D8BM","Diff_Abund","negLog10_sca_adjPval","Genes","Protein.Names","D8BM_vs_D1CM"
-1.87932896575,10.692799687125,-61.6893617844369,4.72204512895829e-11,1.24381619974967e-08,16.4056514494394,"ERBB2_HUMAN",39,71.6225146230865,4.94098903194412e-12,1.72197998028294e-09,1.87932896575,"Up in D8BM",8.76397190195506,"ERBB2","ERBB2_HUMAN",-1.87932896575
-2.8745067125,12.85405385375,-66.8811240907381,2.64542969793853e-11,9.29096955163496e-09,16.9604024487826,"HTRA1_HUMAN",27,71.3222425284194,5.10108081567456e-12,1.72197998028294e-09,2.8745067125,"Up in D8BM",8.76397190195506,"HTRA1","HTRA1_HUMAN",-2.8745067125
-1.7296602725,15.78811252125,-58.8850202816218,6.59145906891235e-11,1.68361843914734e-08,16.0801044973568,"TRFE_HUMAN",55,71.233219659642,5.14966580255779e-12,1.72197998028294e-09,1.7296602725,"Up in D8BM",8.76397190195506,"TF","TRFE_HUMAN",-1.7296602725
1.97447490725,10.657297611375,64.2491809974852,3.5279909386853e-11,1.08780012636096e-08,16.6865399234559,"ASNS_HUMAN",27,-71.0975680480903,5.22470891171024e-12,1.72197998028294e-09,-1.97447490725,"Up in D1CM",8.76397190195506,"ASNS","ASNS_HUMAN",1.97447490725
-2.68431711,12.3976662175,-64.0601745403448,3.60331185022066e-11,1.08780012636096e-08,16.6663038835654,"PCSK6_HUMAN",46,70.4784671124547,5.58328739564746e-12,1.72197998028294e-09,2.68431711,"Up in D8BM",8.76397190195506,"PCSK6","PCSK6_HUMAN",-2.68431711
-1.84771990625,10.763152479375,-67.309789259256,2.52695825320907e-11,9.29096955163496e-09,17.0036490529394,"ALDR_HUMAN",20,70.3774464766766,5.64440117095091e-12,1.72197998028294e-09,1.84771990625,"Up in D8BM",8.76397190195506,"AKR1B1","ALDR_HUMAN",-1.84771990625
2.048493625,11.37113607,63.3095720475268,3.9210690006824e-11,1.10168968689173e-08,16.58516059108,"APOA4_HUMAN",29,-70.197066044706,5.75541646680288e-12,1.72197998028294e-09,-2.048493625,"Up in D1CM",8.76397190195506,"APOA4","APOA4_HUMAN",2.048493625
-1.0014309875,13.11442184375,-47.378352510338,3.12993859800973e-10,4.33249936889278e-08,14.5086441051051,"SRBS1_HUMAN",50,69.9298000764542,5.92447733161767e-12,1.72197998028294e-09,1.0014309875,"Up in D8BM",8.76397190195506,"SORBS1","SRBS1_HUMAN",-1.0014309875
-1.17926764,12.74498713,-50.5597955644227,1.96505191718602e-10,3.45071304374187e-08,14.9861475699598,"DSG2_HUMAN",47,67.7243305930475,7.55564762735384e-12,2.10787493021626e-09,1.17926764,"Up in D8BM",8.67615516135719,"DSG2","DSG2_HUMAN",-1.17926764
-1.7631011025,11.44709587125,-67.0217518816377,2.60588027058119e-11,9.29096955163496e-09,16.9746307222889,"GBA3_HUMAN",18,67.4954152413825,7.75229835528581e-12,2.10787493021626e-09,1.7631011025,"Up in D8BM",8.67615516135719,"GBA3","GBA3_HUMAN",-1.7631011025
-5.3118891725,11.36071777375,-69.3294124621173,2.04417563621087e-11,9.29096955163496e-09,17.2025278777234,"ANGL8_HUMAN",9,65.941945997846,9.25056390498344e-12,2.43665634859704e-09,5.3118891725,"Up in D8BM",8.6132057167865,"ANGPTL8","ANGL8_HUMAN",-5.3118891725
1.9160568725,12.95847594625,64.0348926138482,3.61352515578442e-11,1.08780012636096e-08,16.6635911186498,"HMOX1_HUMAN",18,-64.7946040057675,1.05684241662921e-11,2.69943173629321e-09,-1.9160568725,"Up in D1CM",8.56872765056948,"HMOX1","HMOX1_HUMAN",1.9160568725
-1.334191325,11.47901559,-51.8147586595451,1.64850346144647e-10,3.1580081083028e-08,15.1646893306708,"UBA7_HUMAN",41,64.2314249762623,1.12921576899728e-11,2.79945874025827e-09,1.334191325,"Up in D8BM",8.5529259289585,"UBA7","UBA7_HUMAN",-1.334191325
