"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","count","sca.t","sca.P.Value","sca.adj.pval","D1BM_vs_D2BM","Diff_Abund","negLog10_sca_adjPval","Genes","Protein.Names","D2BM_vs_D1BM"
0.370084762499999,17.25892829875,24.2829308390345,4.30828413640732e-08,2.92485187889347e-06,9.48593462547653,"AOXA_HUMAN",104,-36.9085765471179,9.33252032208748e-10,1.74808475099723e-07,-0.370084762499999,"Non-significant",6.75743751563858,"AOX1","AOXA_HUMAN",0.370084762499999
-1.15148568,10.3661414375,-48.2531901455877,3.39173599598989e-10,1.58827459501104e-07,14.3971279327013,"CALL4_HUMAN",9,36.7008840810209,9.73395095873464e-10,1.78364070937335e-07,1.15148568,"Up in D2BM",6.74869262397973,"CALML4","CALL4_HUMAN",-1.15148568
-0.847975492500003,10.83592712625,-38.1826007489475,1.77537148477528e-09,3.93805427504496e-07,12.8042056959035,"HEPS_HUMAN",15,36.337275057416,1.04847512318702e-09,1.88033974751988e-07,0.847975492500003,"Up in D2BM",6.72576367353297,"HPN","HEPS_HUMAN",-0.847975492500003
-1.205776215,11.65636444,-39.7546401635666,1.33496888021544e-09,3.62982344881803e-07,13.0865045697738,"TSK_HUMAN",11,35.9605621336457,1.13325832628202e-09,1.99004884004816e-07,1.205776215,"Up in D2BM",6.7011362649455,"TSKU","TSK_HUMAN",-1.205776215
-0.609638689999999,10.829191445,-29.8065604211762,1.01907530562903e-08,1.30148268956774e-06,11.017017778949,"LIMC1_HUMAN",55,35.599176262649,1.22195826134258e-09,2.08576558033057e-07,0.609638689999999,"Up in D2BM",6.68073450362269,"LIMCH1","LIMC1_HUMAN",-0.609638689999999
-0.902354955,10.8468741175,-33.0914832904977,4.87621060640801e-09,8.52925302595846e-07,11.7816979949672,"IFIT1_HUMAN",29,35.5398605812403,1.23725565329847e-09,2.08576558033057e-07,0.902354955,"Up in D2BM",6.68073450362269,"IFIT1","IFIT1_HUMAN",-0.902354955
1.2595257765,9.93894100175,36.0898951429511,2.64361816582824e-09,5.43489207799176e-07,12.4051897736905,"INGR1_HUMAN",13,-34.975388544934,1.39421051542816e-09,2.30427459500862e-07,-1.2595257765,"Up in D1BM",6.63746576830827,"IFNGR1","INGR1_HUMAN",1.2595257765
0.560176372499999,13.60421967375,29.8974603968196,9.9744429048185e-09,1.30148268956774e-06,11.0394694162878,"ESF1_HUMAN",32,-34.520033306419,1.5373671691121e-09,2.49201305162421e-07,-0.560176372499999,"Up in D1BM",6.60344968744082,"ESF1","ESF1_HUMAN",0.560176372499999
-0.775130982499999,11.01088631125,-32.7930065781504,5.19807528692351e-09,8.52925302595846e-07,11.7159614671191,"MFGM_HUMAN",22,34.4123948149706,1.57359443635129e-09,2.50260896301982e-07,0.775130982499999,"Up in D2BM",6.60160700435493,"MFGE8","MFGM_HUMAN",-0.775130982499999
-0.450570347500001,13.02669513125,-25.5943180213109,2.97749187513269e-08,2.32382213106421e-06,9.88215799410997,"MYLK_HUMAN",99,34.0788089285206,1.69215856411342e-09,2.60772488416391e-07,0.450570347500001,"Non-significant",6.58373822873457,"MYLK","MYLK_HUMAN",-0.450570347500001
0.339643479999999,14.274816035,23.2241486721846,5.89068919188195e-08,3.57213087758079e-06,9.14866191902433,"CSDE1_HUMAN",55,-33.9922586717294,1.7245518734274e-09,2.60772488416391e-07,-0.339643479999999,"Non-significant",6.58373822873457,"CSDE1","CSDE1_HUMAN",0.339643479999999
-0.731149192500004,14.41811323125,-30.5482499698535,8.57007884622206e-09,1.18421630483288e-06,11.1979521487236,"NHRF3_HUMAN",36,33.971298323895,1.73250199920725e-09,2.60772488416391e-07,0.731149192500004,"Up in D2BM",6.58373822873457,"PDZK1","NHRF3_HUMAN",-0.731149192500004
2.859814048,8.52347236875,43.2981408535493,7.29986879748195e-10,2.6163712419547e-07,13.6738695762985,"MT1M_HUMAN",3,-33.7316970140221,1.8263930830571e-09,2.70081882405057e-07,-2.859814048,"Up in D1BM",6.56850454811694,"MT1M","MT1M_HUMAN",2.859814048
-0.299276354999993,16.5832800875,-20.2851689779734,1.51912514221837e-07,6.46702314331244e-06,8.11870429226148,"AHNK_HUMAN",309,33.518969868163,1.91460505087823e-09,2.71098645834094e-07,0.299276354999993,"Non-significant",6.56687265176016,"AHNAK","AHNK_HUMAN",-0.299276354999993
-0.333865402500003,14.40979063375,-22.9008842609889,6.49913018053794e-08,3.72661008787444e-06,9.04237368028028,"CTNA1_HUMAN",54,33.5013582402187,1.92212177250564e-09,2.71098645834094e-07,0.333865402500003,"Non-significant",6.56687265176016,"CTNNA1","CTNA1_HUMAN",-0.333865402500003
0.779972789999999,11.42463863,29.8525503794338,1.00806518931116e-08,1.30148268956774e-06,11.0283867658811,"JAK1_HUMAN",56,-33.483549458438,1.9297566437354e-09,2.71098645834094e-07,-0.779972789999999,"Up in D1BM",6.56687265176016,"JAK1","JAK1_HUMAN",0.779972789999999
1.3069109925,9.38743209875,38.2799827790591,1.74370709874709e-09,3.93805427504496e-07,12.8221122726439,"TR10A_HUMAN",9,-33.2129073747525,2.05011652577518e-09,2.83285773700967e-07,-1.3069109925,"Up in D1BM",6.54777523472172,"TNFRSF10A","TR10A_HUMAN",1.3069109925
0.890123129999999,13.4911822075,32.648090437593,5.3630372568015e-09,8.52925302595846e-07,11.6837898982906,"HMOX1_HUMAN",18,-33.0806659949001,2.11200324260966e-09,2.87130247289626e-07,-0.890123129999999,"Up in D1BM",6.5419210550164,"HMOX1","HMOX1_HUMAN",0.890123129999999
-0.656758547499999,15.04390823875,-28.9462625881194,1.25257476930136e-08,1.46953659571515e-06,10.800573239284,"PH4H_HUMAN",41,32.8660795302473,2.21698214211706e-09,2.96618134538169e-07,0.656758547499999,"Up in D2BM",6.52780230074829,"PAH","PH4H_HUMAN",-0.656758547499999
0.474472282500003,10.28916609375,26.0561689284925,2.62575880479407e-08,2.14358713044871e-06,10.0164205312703,"TMF1_HUMAN",54,-32.5908372699086,2.36039470358995e-09,3.10871358696245e-07,-0.474472282500003,"Non-significant",6.50741928867782,"TMF1","TMF1_HUMAN",0.474472282500003
-1.2526381015,9.58843195425,-32.6939242545344,5.31022652796837e-09,8.52925302595846e-07,11.6939832391751,"ABCG8_HUMAN",14,32.3888081848753,2.47235533934423e-09,3.14202119886622e-07,1.2526381015,"Up in D2BM",6.50279088914978,"ABCG8","ABCG8_HUMAN",-1.2526381015
1.551168445,10.988411425,31.8702912404807,6.35721945983167e-09,9.92314867165206e-07,11.5081994997097,"IMA1_HUMAN",16,-32.3700418898537,2.48305698708291e-09,3.14202119886622e-07,-1.551168445,"Up in D1BM",6.50279088914978,"KPNA2","IMA1_HUMAN",1.551168445
-0.381757735000008,17.65307188,-24.5647613096468,3.97298359376211e-08,2.80068683989059e-06,9.57302783009987,"ANXA2_HUMAN",42,32.3448358819754,2.49751358789936e-09,3.14202119886622e-07,0.381757735000008,"Non-significant",6.50279088914978,"ANXA2","ANXA2_HUMAN",-0.381757735000008
-0.461810592500001,15.01470351125,-26.4192754544823,2.38228984357408e-08,2.02831526176625e-06,10.1201435379165,"DPYL2_HUMAN",35,31.6771430158326,2.91748154531268e-09,3.61605951382035e-07,0.461810592500001,"Non-significant",6.44176443043365,"DPYSL2","DPYL2_HUMAN",-0.461810592500001
0.473781585000001,11.06007099,28.6225067691347,1.35582284185599e-08,1.50882904511226e-06,10.717214224302,"MCMBP_HUMAN",24,-31.6155189524451,2.96011515545859e-09,3.61605951382035e-07,-0.473781585000001,"Non-significant",6.44176443043365,"MCMBP","MCMBP_HUMAN",0.473781585000001
-0.393333200000002,12.0555471175,-23.1829509667267,5.96450142183321e-08,3.59105589175944e-06,9.13520493903006,"CGNL1_HUMAN",88,31.4774898573319,3.05819292449353e-09,3.63648376057103e-07,0.393333200000002,"Non-significant",6.43931834751511,"CGNL1","CGNL1_HUMAN",-0.393333200000002
-0.344643834999999,14.5312598925,-23.033072912528,6.24206378457628e-08,3.66906030261358e-06,9.0860303958492,"ES8L2_HUMAN",44,31.4706891005593,3.06311955155467e-09,3.63648376057103e-07,0.344643834999999,"Non-significant",6.43931834751511,"EPS8L2","ES8L2_HUMAN",-0.344643834999999
-0.379825115000003,13.3403449075,-22.7272009816753,6.85543200583224e-08,3.87815009242684e-06,8.98460039786186,"TENS1_HUMAN",81,31.029584602382,3.40273034778543e-09,3.94490673098844e-07,0.379825115000003,"Non-significant",6.40396326031157,"TNS1","TENS1_HUMAN",-0.379825115000003
-1.3990719275,13.73584926125,-31.7047269289427,6.59505096632458e-09,1.01072153809363e-06,11.4701744155045,"TTHY_HUMAN",12,31.012744070245,3.41651668480432e-09,3.94490673098844e-07,1.3990719275,"Up in D2BM",6.40396326031157,"TTR","TTHY_HUMAN",-1.3990719275
-0.754300835,10.6249777075,-28.3121636437901,1.46399201488699e-08,1.58204983249775e-06,10.6362992946821,"VLDLR_HUMAN",35,30.9232034729825,3.4908888917273e-09,3.97631114437425e-07,0.754300835,"Up in D2BM",6.40051963961733,"VLDLR","VLDLR_HUMAN",-0.754300835
1.28831338775,10.097789048625,30.1772330274623,9.3408217748115e-09,1.24974264666486e-06,11.1080824952672,"CP1B1_HUMAN",17,-30.7029594191756,3.68175201635559e-09,4.06453433651685e-07,-1.28831338775,"Up in D1BM",6.39098920324716,"CYP1B1","CP1B1_HUMAN",1.28831338775
-0.908938647499998,12.61430323125,-29.0290629101631,1.22762838199679e-08,1.46953659571515e-06,10.8217222386451,"APOA5_HUMAN",27,30.6917224899079,3.69180222649157e-09,4.06453433651685e-07,0.908938647499998,"Up in D2BM",6.39098920324716,"APOA5","APOA5_HUMAN",-0.908938647499998
-0.663409949999998,12.06798327,-27.931747430992,1.61025851323391e-08,1.63528542265646e-06,10.5357364940302,"PROS_HUMAN",31,30.6681299488363,3.7130044360161e-09,4.06453433651685e-07,0.663409949999998,"Up in D2BM",6.39098920324716,"PROS1","PROS_HUMAN",-0.663409949999998
-0.635581967500002,12.38771796125,-28.1565385784351,1.5219170005237e-08,1.62382764524231e-06,10.5953452167018,"AS3MT_HUMAN",27,30.5941748807492,3.78036545554439e-09,4.0852180031774e-07,0.635581967500002,"Up in D2BM",6.38878476286455,"AS3MT","AS3MT_HUMAN",-0.635581967500002
-0.677903415000003,13.2535198925,-28.0391585470061,1.56733751214677e-08,1.63362926582784e-06,10.564286297787,"FDFT_HUMAN",29,30.4947571755759,3.87311032301843e-09,4.08553528998121e-07,0.677903415000003,"Up in D2BM",6.38875103380599,"FDFT1","FDFT_HUMAN",-0.677903415000003
0.825621369999995,16.093384385,28.979957393418,1.24235399073807e-08,1.46953659571515e-06,10.8091879162836,"AACT_HUMAN",24,-30.4900140777739,3.87759904138684e-09,4.08553528998121e-07,-0.825621369999995,"Up in D1BM",6.38875103380599,"SERPINA3","AACT_HUMAN",0.825621369999995
-0.731734277499999,13.23883724125,-29.27838265092,1.1558653757062e-08,1.45414764952651e-06,10.8849915475535,"QORX_HUMAN",20,30.1928043515286,4.17098330874048e-09,4.24059210032079e-07,0.731734277499999,"Up in D2BM",6.37257350002307,"TP53I3","QORX_HUMAN",-0.731734277499999
-0.493249655,12.311392905,-25.2542421629669,3.27094022544102e-08,2.52942707892131e-06,9.78157918798333,"KLC4_HUMAN",45,30.1423115416883,4.22328426996629e-09,4.24059210032079e-07,0.493249655,"Non-significant",6.37257350002307,"KLC4","KLC4_HUMAN",-0.493249655
-0.499907017500004,10.19145512625,-26.5353698899088,2.30995323909458e-08,1.99977598632982e-06,10.1529733274176,"MRTFB_HUMAN",29,30.0393649968573,4.33223434999053e-09,4.24059210032079e-07,0.499907017500004,"Non-significant",6.37257350002307,"MRTFB","MRTFB_HUMAN",-0.499907017500004
0.530426499999997,10.4361186025,25.1085699944178,3.40662201170553e-08,2.56378722648803e-06,9.73804024914527,"RPA1_HUMAN",68,-30.0114567739871,4.36231599081994e-09,4.24059210032079e-07,-0.530426499999997,"Up in D1BM",6.37257350002307,"POLR1A","RPA1_HUMAN",0.530426499999997
-1.0322158325,11.98050272375,-28.5556456750453,1.37833475469977e-08,1.50882904511226e-06,10.6998659166882,"HTRA1_HUMAN",27,29.9765017269941,4.4003274395614e-09,4.24059210032079e-07,1.0322158325,"Up in D2BM",6.37257350002307,"HTRA1","HTRA1_HUMAN",-1.0322158325
0.554740907500003,13.79512643625,26.5108098073167,2.32504504283215e-08,1.99977598632982e-06,10.14604141696,"RAGP1_HUMAN",33,-29.9678858100274,4.40975423822539e-09,4.24059210032079e-07,-0.554740907500003,"Up in D1BM",6.37257350002307,"RANGAP1","RAGP1_HUMAN",0.554740907500003
0.285532472499995,16.32736515875,20.5411202461944,1.39164990406639e-07,6.17379844282925e-06,8.21447858675233,"PABP1_HUMAN",44,-29.9456384729802,4.43420130732552e-09,4.24059210032079e-07,-0.285532472499995,"Non-significant",6.37257350002307,"PABPC1","PABP1_HUMAN",0.285532472499995
1.0550875675,10.98317289625,30.4318283107756,8.80384140058919e-09,1.1968964381543e-06,11.1698879652576,"CD123_HUMAN",14,-29.9122369340737,4.47119418498741e-09,4.24059210032079e-07,-1.0550875675,"Up in D1BM",6.37257350002307,"CDC123","CD123_HUMAN",1.0550875675
0.7487378125,11.34110617625,27.9839171061039,1.58924664607762e-08,1.63362926582784e-06,10.5496185762018,"ASNS_HUMAN",27,-29.9065295810645,4.47755008813086e-09,4.24059210032079e-07,-0.7487378125,"Up in D1BM",6.37257350002307,"ASNS","ASNS_HUMAN",0.7487378125
-0.944348574999999,14.705604195,-28.7090232193796,1.32731235895367e-08,1.50882904511226e-06,10.7395944169605,"TMPS6_HUMAN",21,29.7062911165311,4.70715422579814e-09,4.39544456994517e-07,0.944348574999999,"Up in D2BM",6.35699719237415,"TMPRSS6","TMPS6_HUMAN",-0.944348574999999
-0.761882069999999,12.31636703,-32.6649657691052,5.34352378890111e-09,8.52925302595846e-07,11.6875448957174,"CAVN1_HUMAN",13,29.6740559044932,4.74534886540527e-09,4.39544456994517e-07,0.761882069999999,"Up in D2BM",6.35699719237415,"CAVIN1","CAVN1_HUMAN",-0.761882069999999
0.30015993,17.115312815,21.2017695309102,1.11524690883164e-07,5.39235319005528e-06,8.45601481250846,"NAMPT_HUMAN",40,-29.5080762438463,4.94765488095661e-09,4.50533728771016e-07,-0.30015993,"Non-significant",6.34627269043229,"NAMPT","NAMPT_HUMAN",0.30015993
