"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","count","sca.t","sca.P.Value","sca.adj.pval","D5BM_vs_D8B","Diff_Abund","negLog10_sca_adjPval","Genes","Protein.Names"
2.93829227,13.543803335,54.1067072534527,1.3091793858147e-10,1.10350730430321e-06,13.5456029886711,"HBSAG_HBVD3",7,45.6767305613157,1.49734349682684e-10,1.26211083347534e-06,2.93829227,"Up in D8B",5.89890250543007,"S","HBSAG_HBVD3"
3.5777812,12.049467325,39.7612575220663,1.1771129933229e-09,4.96094271035937e-06,12.3076598053622,"CAPSD_HBVD3",7,37.7523527544517,6.33492956321166e-10,2.66985606441555e-06,3.5777812,"Up in D8B",5.5735121514126,"C","CAPSD_HBVD3"
1.11416125,12.82005465,32.2840100575534,5.18247216919595e-09,1.4144375045244e-05,11.260210008198,"RIR2B_HUMAN",23,33.9437720992178,1.41540948767841e-09,3.97682885721377e-06,1.11416125,"Up in D8B",5.40046309847014,"RRM2B","RIR2B_HUMAN"
0.637187717499998,15.86666834375,31.1299696293301,6.71224346671919e-09,1.4144375045244e-05,11.061028812147,"TBB6_HUMAN",17,29.7547870990969,3.82568753844739e-09,7.76016357759279e-06,0.637187717499998,"Up in D8B",5.11012912409011,"TUBB6","TBB6_HUMAN"
-0.907564642500001,11.79585742875,-28.3094674538689,1.31731848837246e-08,1.51764395630544e-05,10.5205487089985,"RCN2_HUMAN",19,-28.9476493013023,4.70726901460755e-09,7.76016357759279e-06,-0.907564642500001,"Up in D5BM",5.11012912409011,"RCN2","RCN2_HUMAN"
0.861361024999999,11.9298641675,27.9552210594181,1.44040237874523e-08,1.51764395630544e-05,10.4467296086074,"PRS23_HUMAN",17,27.8344409998105,6.32585404135918e-09,7.76016357759279e-06,0.861361024999999,"Up in D8B",5.11012912409011,"PRSS23","PRS23_HUMAN"
0.6515047575,11.05439603375,24.3544729168484,3.82573441376302e-08,2.99268856852467e-05,9.60807778376725,"ITA2_HUMAN",31,27.3058234344351,7.30877598158121e-09,7.76016357759279e-06,0.6515047575,"Up in D8B",5.11012912409011,"ITGA2","ITA2_HUMAN"
1.039136646,10.2833937395,26.7091146767626,1.99018425660506e-08,1.86391812210267e-05,10.1754030487887,"TREA_HUMAN",18,27.1749463300819,7.57807022942895e-09,7.76016357759279e-06,1.039136646,"Up in D8B",5.11012912409011,"TREH","TREA_HUMAN"
0.564107419999999,12.3043653975,23.9866364225424,4.26056030635852e-08,2.99268856852467e-05,9.51233088835485,"PLIN2_HUMAN",27,26.8545990414284,8.28585504785088e-09,7.76016357759279e-06,0.564107419999999,"Up in D8B",5.11012912409011,"PLIN2","PLIN2_HUMAN"
0.523082732499997,14.66830468125,21.419579987739,9.47700908835629e-08,4.43787275587529e-05,8.78258445883427,"VILI_HUMAN",48,25.962811195449,1.06838811173788e-08,9.00544339383856e-06,0.523082732499997,"Up in D8B",5.04549489930677,"VIL1","VILI_HUMAN"
0.41819334,12.5086343275,18.6503555505126,2.51094015932606e-07,7.29817744929632e-05,7.85333668917024,"FAT1_HUMAN",154,25.3830390719146,1.26621964972528e-08,9.21270293010434e-06,0.41819334,"Non-significant",5.03561293273356,"FAT1","FAT1_HUMAN"
0.787844422500001,13.65578854125,23.0042415212881,5.72600010454864e-08,3.71265037548003e-05,9.24624433889108,"PFKAP_HUMAN",36,25.1896096929707,1.3411948110817e-08,9.21270293010434e-06,0.787844422500001,"Up in D8B",5.03561293273356,"PFKP","PFKAP_HUMAN"
0.481881142500001,18.09537601375,21.6909942682882,8.67154027052628e-08,4.34755115522384e-05,8.86521159828828,"VTNC_HUMAN",29,24.9970132619686,1.42087006870752e-08,9.21270293010434e-06,0.481881142500001,"Non-significant",5.03561293273356,"VTN","VTNC_HUMAN"
0.533721924999996,14.63936615,21.0047519728131,1.08782132582412e-07,4.79033176827148e-05,8.65358303204787,"CAN2_HUMAN",37,24.393265198594,1.70750632741839e-08,9.73666309172858e-06,0.533721924999996,"Up in D8B",5.01158985720275,"CAPN2","CAN2_HUMAN"
0.4090712075,14.28301799375,19.6523769546802,1.73816083130206e-07,5.59449191909297e-05,8.20883173470184,"ADRO_HUMAN",36,24.3457472638278,1.73270787016169e-08,9.73666309172858e-06,0.4090712075,"Non-significant",5.01158985720275,"FDXR","ADRO_HUMAN"
0.273116347500002,15.64363419875,14.561647264302,1.41456369538869e-06,0.000183562250535182,6.11913586577339,"FLNA_HUMAN",152,23.9986177298276,1.93010193276887e-08,9.84163774224224e-06,0.273116347500002,"Non-significant",5.00693262481715,"FLNA","FLNA_HUMAN"
0.401787284999997,13.5115923875,18.1164687104146,3.07868402571206e-07,7.70122273697283e-05,7.65406012451183,"FA5_HUMAN",71,23.909322227906,1.98490736289142e-08,9.84163774224224e-06,0.401787284999997,"Non-significant",5.00693262481715,"F5","FA5_HUMAN"
1.14106249825,9.331155896125,22.1241857960065,7.5420835802851e-08,4.23814816654821e-05,8.99426952843542,"FLNC_HUMAN",88,23.7232253048399,2.10487119755783e-08,9.85664406900828e-06,1.14106249825,"Up in D8B",5.00627092586986,"FLNC","FLNC_HUMAN"
0.452868937499996,13.98449611625,20.0906902679549,1.48824565269779e-07,5.01776904263586e-05,8.35719610532261,"HTRA1_HUMAN",27,22.6734607004872,2.95627574805039e-08,1.30457340115128e-05,0.452868937499996,"Non-significant",4.88453148052071,"HTRA1","HTRA1_HUMAN"
