"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","count","sca.t","sca.P.Value","sca.adj.pval","D1C_vs_D1CM","Diff_Abund","negLog10_sca_adjPval","Genes","Protein.Names"
0.65618825,11.66519797,26.1658378567252,1.93164587699469e-08,0.000162818430971883,4.83647996075218,"GBP4_HUMAN",26,28.4410061915057,3.67969534176499e-09,3.10161520357371e-05,0.65618825,"Up in D1CM",4.50841208316025,"GBP4","GBP4_HUMAN"
4.65902066225,8.780753016375,15.9111690160632,6.70392145242081e-07,0.00282536769612275,4.00260115647595,"CXL10_HUMAN",2,15.7978628381692,3.35192015857262e-07,0.00141266675083043,4.65902066225,"Up in D1CM",2.84996027647052,"CXCL10","CXL10_HUMAN"
0.289992572500001,14.62066137875,12.0966859617334,4.57664119738916e-06,0.0128588362175977,3.23629367957715,"STAT1_HUMAN",39,14.2597827530027,7.27495159529453e-07,0.00204401889989125,0.289992572500001,"Non-significant",2.68951509284235,"STAT1","STAT1_HUMAN"
0.292465207500001,11.73554587375,10.2486713683865,1.43346900602595e-05,0.0253377677782558,2.65271895982918,"IFIT3_HUMAN",23,10.7861569419027,5.83535366964828e-06,0.0122965490203663,0.292465207500001,"Non-significant",1.91021675455251,"IFIT3","IFIT3_HUMAN"
0.458265543,9.69638311875,10.1777813564619,1.50301149473578e-05,0.0253377677782558,2.62636346419716,"IRF9_HUMAN",13,9.94227454219098,1.05974353013265e-05,0.0178651564309762,0.458265543,"Non-significant",1.74799317667328,"IRF9","IRF9_HUMAN"
-0.316494703500004,10.15460050075,-9.36506848928401,2.64416187186527e-05,0.037146067363254,2.2989606942059,"TAGL_HUMAN",17,-9.35985419869988,1.64234052769126e-05,0.0230721471798494,-0.316494703500004,"Non-significant",1.63691198653796,"TAGLN","TAGL_HUMAN"
-0.119714734999997,14.380729435,-5.76505156986868,0.000606952862774829,0.232545712742229,0.0707677930663726,"FINC_HUMAN",161,-8.16421857187878,4.36283705065048e-05,0.0525347907141899,-0.119714734999997,"Non-significant",1.27955299352644,"FN1","FINC_HUMAN"
0.134361267499999,12.10383200625,5.92977330368105,0.000510961241852472,0.226678542503921,0.209377238687885,"PAR14_HUMAN",98,7.77577525031367,6.14665749892448e-05,0.0554982234878929,0.134361267499999,"Non-significant",1.25572091853054,"PARP14","PAR14_HUMAN"
0.3036224825,13.59494245125,7.56303923751139,0.000109316220847712,0.131632346503624,1.37185540808454,"GBP3_HUMAN",19,7.7450042370398,6.31953207881251e-05,0.0554982234878929,0.3036224825,"Non-significant",1.25572091853054,"GBP3","GBP3_HUMAN"
0.137984992500002,12.76250732125,6.43173824087903,0.000308496588347845,0.173354516212266,0.605965584700686,"MX1_HUMAN",35,7.69966582152227,6.5842002002483e-05,0.0554982234878929,0.137984992500002,"Non-significant",1.25572091853054,"MX1","MX1_HUMAN"
0.295692442500002,12.71588778625,7.24350188897918,0.000144654232233227,0.152411315436734,1.17202143595619,"APOL3_HUMAN",21,7.5022604655429,7.88977157758059e-05,0.0604571678431153,0.295692442500002,"Non-significant",1.21855220150019,"APOL3","APOL3_HUMAN"
-0.130464075000001,14.4265334625,-5.64556330138765,0.000689149371492563,0.242035002179617,-0.032513221504237,"FLNA_HUMAN",152,-7.40038211528045,8.67452090340583e-05,0.0609312805790064,-0.130464075000001,"Non-significant",1.21515969431026,"FLNA","FLNA_HUMAN"
0.260865927500003,15.71695816375,6.82803438657609,0.000211324767541906,0.169885326390539,0.893288526597087,"GBP1_HUMAN",23,7.14069237638906,0.000110979173785851,0.0719571889108415,0.260865927500003,"Non-significant",1.14292581120136,"GBP1","GBP1_HUMAN"
0.175710442500003,12.58294069875,6.66615028691239,0.000246137303507661,0.169885326390539,0.778544254806264,"TAP2_HUMAN",22,6.9634731996731,0.000131819852459709,0.0763274454973807,0.175710442500003,"Non-significant",1.11731927220449,"TAP2","TAP2_HUMAN"
-3.66905879975,8.270633459125,-6.68414230345095,0.000241967581845339,0.169885326390539,0.791473323517297,"EVPL_HUMAN",14,-6.93295572765915,0.000135830072661135,0.0763274454973807,-3.66905879975,"Non-significant",1.11731927220449,"EVPL","EVPL_HUMAN"
-0.352841616249998,10.015713334375,-6.52359384851326,0.000282168059018572,0.169885326390539,0.674514747792387,"ALDR_HUMAN",20,-6.74180899521553,0.00016425055663995,0.0865292463698839,-0.352841616249998,"Non-significant",1.06283707877458,"AKR1B1","ALDR_HUMAN"
-1.42864811425,7.102214515375,-6.54929924478216,0.000275257051880022,0.169885326390539,0.693483306988181,"NPL_HUMAN",5,-6.62192313441466,0.000185415470146459,0.0919333528155591,-1.42864811425,"Non-significant",1.03652690084551,"NPL","NPL_HUMAN"
-0.127719642500004,12.97336423375,-5.44654516194888,0.000854972913627296,0.266909877369055,-0.209769313002166,"BGH3_HUMAN",36,-6.3817213039374,0.000237541787029816,0.111235540159684,-0.127719642500004,"Non-significant",0.953756431915637,"TGFBI","BGH3_HUMAN"
0.21275949,12.04055381,5.68359600257641,0.000661715520258405,0.242035002179617,0.000613456289809911,"TAP1_HUMAN",24,5.9721113783534,0.000368169951749395,0.163331817015561,0.21275949,"Non-significant",0.786929206516648,"TAP1","TAP1_HUMAN"
0.242340089999999,14.4636271,6.76073730242408,0.000225079347552962,0.169885326390539,0.846019211222909,"ISG20_HUMAN",10,5.84502590467906,0.000423563371783176,0.171672767247073,0.242340089999999,"Non-significant",0.765298592272661,"ISG20","ISG20_HUMAN"
