"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","count","sca.t","sca.P.Value","sca.adj.pval","D5B_vs_D8BM","Diff_Abund","negLog10_sca_adjPval","Genes","Protein.Names"
-2.9816298525,13.26296472625,-69.0843106402204,2.10768553717376e-11,1.77656813928376e-07,14.0437936764806,"HBSAG_HBVD3",7,-51.7086431539765,5.84928847359517e-11,4.93036525439337e-07,-2.9816298525,"Up in D5B",6.30712090585632,"S","HBSAG_HBVD3"
1.06193733249999,14.06612491625,41.3796452637581,8.28386455916687e-10,3.49123471846088e-06,12.3811801786187,"HRG_HUMAN",22,44.5832451430527,1.79900487151512e-10,7.58190603100048e-07,1.06193733249999,"Up in D8BM",6.12022160245652,"HRG","HRG_HUMAN"
0.423728467500004,14.26233935375,20.1227173058138,1.40473837234339e-07,6.24984095732991e-05,8.38753861352409,"EPIPL_HUMAN",173,32.9016200678255,1.79136522532683e-09,3.46044639054863e-06,0.423728467500004,"Non-significant",5.46086787448832,"EPPK1","EPIPL_HUMAN"
1.31219864025,9.644710779875,31.956976908499,5.24841768689088e-09,1.47463042276011e-05,11.1521203220494,"LX15B_HUMAN",19,32.8516381127252,1.81205206076815e-09,3.46044639054863e-06,1.31219864025,"Up in D8BM",5.46086787448832,"ALOX15B","LX15B_HUMAN"
0.975229502499996,11.42354166375,28.156304793905,1.2943404746023e-08,2.7274989651057e-05,10.4597609526112,"AKA12_HUMAN",65,32.3136222656745,2.05270280611498e-09,3.46044639054863e-06,0.975229502499996,"Up in D8BM",5.46086787448832,"AKAP12","AKA12_HUMAN"
0.747367384999997,13.78079176,26.5313769356884,1.97617627285385e-08,2.77619830064752e-05,10.1163083484394,"PFKAP_HUMAN",36,30.8949817378057,2.88074759583775e-09,4.04697024755274e-06,0.747367384999997,"Up in D8BM",5.39286998843551,"PFKP","PFKAP_HUMAN"
-0.618337870000003,10.6406553975,-24.7614783472898,3.22864977915927e-08,3.59501256376412e-05,9.70381823060539,"AT2L1_HUMAN",25,-27.7406130977066,6.48883672194357e-09,7.81348638989462e-06,-0.618337870000003,"Up in D5B",5.10715513999704,"ETNPPL","AT2L1_HUMAN"
-0.357695812500001,12.31160056625,-17.2992220207621,4.07843272551518e-07,0.000122775390869169,7.369343976896,"COBL1_HUMAN",67,-26.6954378542484,8.66509360061421e-09,8.02155012652905e-06,-0.357695812500001,"Non-significant",5.09574169825621,"COBLL1","COBL1_HUMAN"
-3.64998245475,11.812232255125,-26.7793767874727,1.84958137370933e-08,2.77619830064752e-05,10.1708001519427,"CAPSD_HBVD3",7,-26.3999196471121,9.42244900190197e-09,8.02155012652905e-06,-3.64998245475,"Up in D5B",5.09574169825621,"C","CAPSD_HBVD3"
0.878509999999999,12.71167016,24.5696874715445,3.41204182110725e-08,3.59501256376412e-05,9.65649020494324,"MUC18_HUMAN",25,26.3031772208504,9.68642781101612e-09,8.02155012652905e-06,0.878509999999999,"Up in D8BM",5.09574169825621,"MCAM","MUC18_HUMAN"
0.648545267499998,14.64224505375,22.0229891369429,7.41700525095133e-08,4.78424294671237e-05,8.97314234338739,"VILI_HUMAN",48,26.0332538981786,1.04682704225673e-08,8.02155012652905e-06,0.648545267499998,"Up in D8BM",5.09574169825621,"VIL1","VILI_HUMAN"
0.587282895,11.167010665,20.8221443134397,1.10320705557426e-07,5.81183266964715e-05,8.61143084255907,"ITA2_HUMAN",31,23.7518970258852,2.08586572434923e-08,1.34551869873293e-05,0.587282895,"Up in D8BM",4.87111026244864,"ITGA2","ITA2_HUMAN"
0.353787422499995,13.60078692625,16.5610006370464,5.54003385603204e-07,0.000141505895068164,7.06846462990504,"PLAK2_HUMAN",53,23.6620745614501,2.14606321495915e-08,1.34551869873293e-05,0.353787422499995,"Non-significant",4.87111026244864,"PALM2AKAP2","PLAK2_HUMAN"
1.16976118,11.6216723925,23.1642674266549,5.18368540501822e-08,4.08742130262964e-05,9.29255374982717,"FSTL1_HUMAN",17,23.534710205692,2.23481572929898e-08,1.34551869873293e-05,1.16976118,"Up in D8BM",4.87111026244864,"FSTL1","FSTL1_HUMAN"
0.598815202499999,10.45869719875,21.5983845858492,8.51389775782246e-08,4.78424294671237e-05,8.84838347558446,"SCMC1_HUMAN",22,23.1111648890847,2.56119635849407e-08,1.43922160704977e-05,0.598815202499999,"Up in D8BM",4.84187232954574,"SLC25A24","SCMC1_HUMAN"
0.940847877499998,13.52008461875,24.1501547809265,3.8560646747365e-08,3.611418793706e-05,9.55105731348544,"IL18_HUMAN",13,22.6990729940541,2.93134667252263e-08,1.54427006891833e-05,0.940847877499998,"Up in D8BM",4.81127674597936,"IL18","IL18_HUMAN"
-0.996487141749999,10.495201826625,-21.8083527466521,7.9499772610407e-08,4.78424294671237e-05,8.91049410786667,"DDB2_HUMAN",17,-22.0964241706909,3.58668865636415e-08,1.77836462849961e-05,-0.996487141749999,"Up in D5B",4.74997918829838,"DDB2","DDB2_HUMAN"
0.371498107499995,16.25025987375,16.765057008021,5.08376564263801e-07,0.000141505895068164,7.15323635374137,"DPYL2_HUMAN",35,21.3212293107554,4.68695323243678e-08,2.19479604423387e-05,0.371498107499995,"Non-significant",4.65860583122106,"DPYSL2","DPYL2_HUMAN"
0.831835747000005,10.113781214,19.6612592730175,1.65494599843952e-07,6.3406999185667e-05,8.23411155934637,"ITA7_HUMAN",30,21.0809672771769,5.10197405775502e-08,2.26339680699037e-05,0.831835747000005,"Up in D8BM",4.64523930111407,"ITGA7","ITA7_HUMAN"
